University,International Faculty-17,International Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Aberdeen,95.9,95.5,,,0.004171011,1.73973E-05,0.004171011
University of Bahrain,90.4,95.7,,,-0.058628319,0.00343728,0.058628319
University College Dublin,93.1,95.7,,,-0.02792696,0.000779915,0.02792696
University of Surrey,96,95.7,,,0.003125,9.76562E-06,0.003125
Aston University,98.1,95.8,,,0.023445464,0.00054969,0.023445464
Maastricht University,94.9,95.9,,,-0.010537408,0.000111037,0.010537408
University of Limerick,97.9,96,,,0.019407559,0.000376653,0.019407559
Deakin University,98.5,96.1,,,0.024365482,0.000593677,0.024365482
Ecole Polytechnique,96.9,96.4,,,0.005159959,2.66252E-05,0.005159959
Harvard University,100,96.5,,,0.035,0.001225,0.035
Ulster University,97.1,96.6,,,0.005149331,2.65156E-05,0.005149331
UCL (University College London),99.1,96.6,,,0.025227043,0.000636404,0.025227043
Massey University,96.5,96.8,,,-0.003108808,9.66469E-06,0.003108808
University of Toronto,97.2,97,,,0.002057613,4.23377E-06,0.002057613
University of Vienna,96.9,97.1,,,-0.002063983,4.26003E-06,0.002063983
Purdue University,96.1,97.2,,,-0.01144641,0.00013102,0.01144641
University of Technology Sydney,96.7,97.2,,,-0.005170631,2.67354E-05,0.005170631
Queensland University of Technology (QUT),96.9,97.2,,,-0.003095975,9.58506E-06,0.003095975
Swinburne University of Technology,92,97.3,,,-0.057608696,0.003318762,0.057608696
University of Tasmania,92.6,97.3,,,-0.05075594,0.002576165,0.05075594
University of Waikato,97.3,97.3,,,0,0,0
"Birkbeck, University of London",97.5,97.3,,,0.002051282,4.20776E-06,0.002051282
Brunel University London,97.5,97.3,,,0.002051282,4.20776E-06,0.002051282
La Trobe University,97.8,97.3,,,0.005112474,2.61374E-05,0.005112474
University of Cambridge,97.6,97.4,,,0.00204918,4.19914E-06,0.00204918
King's College London,97.6,97.4,,,0.00204918,4.19914E-06,0.00204918
University of Kent,97.7,97.6,,,0.001023541,1.04764E-06,0.001023541
Delft University of Technology,96.5,97.7,,,-0.012435233,0.000154635,0.012435233
"University of California, Berkeley (UCB)",98.1,97.7,,,0.004077472,1.66258E-05,0.004077472
Western Sydney University,79.8,97.8,,,-0.22556391,0.050879077,0.22556391
Universität Innsbruck,97.2,97.9,,,-0.007201646,5.18637E-05,0.007201646
Central Queensland University,98.3,97.9,,,0.004069176,1.65582E-05,0.004069176
The University of Warwick,96,98,,,-0.020833333,0.000434028,0.020833333
University of St Andrews,98.2,98,,,0.00203666,4.14798E-06,0.00203666
Queen Mary University of London,98.6,98,,,0.006085193,3.70296E-05,0.006085193
University of Wollongong,99.7,98,,,0.017051153,0.000290742,0.017051153
"City, University of London",96,98.2,,,-0.022916667,0.000525174,0.022916667
Griffith University,98,98.2,,,-0.002040816,4.16493E-06,0.002040816
Royal Holloway University of London,98.3,98.2,,,0.001017294,1.03489E-06,0.001017294
King Saud University,98.8,98.3,,,0.005060729,2.5611E-05,0.005060729
Instituto Tecnológico y de Estudios Superiores de Monterrey,94.9,98.4,,,-0.036880927,0.001360203,0.036880927
"Trinity College Dublin, The University of Dublin",98,98.4,,,-0.004081633,1.66597E-05,0.004081633
Eindhoven University of Technology,100,98.4,,,0.016,0.000256,0.016
Al-Imam Muhammed Ibn Saud Islamic University,97.8,98.5,,,-0.007157464,5.12293E-05,0.007157464
University of Oxford,98.7,98.6,,,0.001013171,1.02652E-06,0.001013171
Bond University,98.4,98.7,,,-0.00304878,9.29506E-06,0.00304878
Queen's University Belfast,98.8,98.8,,,0,0,0
King Abdulaziz University (KAU),99,98.9,,,0.001010101,1.0203E-06,0.001010101
University of Canterbury,99,99,,,0,0,0
Auckland University of Technology (AUT),99,99,,,0,0,0
The University of Western Ontario,99.2,99.1,,,0.001008065,1.01619E-06,0.001008065
American University of Beirut (AUB),98.6,99.2,,,-0.006085193,3.70296E-05,0.006085193
Technical University of Denmark,98.7,99.2,,,-0.005065856,2.56629E-05,0.005065856
"The University of Newcastle, Australia (UON)",99.3,99.5,,,-0.002014099,4.05659E-06,0.002014099
Umm Al-Qura University,99.4,99.5,,,-0.001006036,1.01211E-06,0.001006036
Arabian Gulf University,100,99.5,,,0.005,0.000025,0.005
ESSEC Business School,98,99.6,,,-0.016326531,0.000266556,0.016326531
University of Lausanne,99.4,99.6,,,-0.002012072,4.04844E-06,0.002012072
Stanford University,99.7,99.6,,,0.001003009,1.00603E-06,0.001003009
The Chinese University of Hong Kong (CUHK),99.5,99.8,,,-0.003015075,9.09068E-06,0.003015075
"Lingnan University, Hong Kong",98.2,99.9,,,-0.017311609,0.000299692,0.017311609
University of Essex,99.2,99.9,,,-0.007056452,4.97935E-05,0.007056452
Hong Kong Baptist University,99.4,100,,,-0.006036217,3.64359E-05,0.006036217
The University of Western Australia,99.5,100,,,-0.005025126,2.52519E-05,0.005025126
King Faisal University,99.7,100,,,-0.003009027,9.05424E-06,0.003009027
The University of Sydney,99.8,100,,,-0.002004008,4.01605E-06,0.002004008
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0
ETH Zurich - Swiss Federal Institute of Technology,100,100,,,0,0,0
Imperial College London,100,100,,,0,0,0
National University of Singapore (NUS),100,100,,,0,0,0
"Nanyang Technological University, Singapore (NTU)",100,100,,,0,0,0
Ecole Polytechnique Fédérale de Lausanne (EPFL),100,100,,,0,0,0
The Australian National University,100,100,,,0,0,0
The University of Hong Kong,100,100,,,0,0,0
The Hong Kong University of Science and Technology,100,100,,,0,0,0
London School of Economics and Political Science (LSE),100,100,,,0,0,0
The University of New South Wales (UNSW Sydney),100,100,,,0,0,0
The University of Queensland,100,100,,,0,0,0
City University of Hong Kong,100,100,,,0,0,0
Monash University,100,100,,,0,0,0
University of Zurich,100,100,,,0,0,0
University of Geneva,100,100,,,0,0,0
The Hong Kong Polytechnic University,100,100,,,0,0,0
University of Basel,100,100,,,0,0,0
University of Otago,100,100,,,0,0,0
University of Bern,100,100,,,0,0,0
King Fahd University of Petroleum & Minerals,100,100,,,0,0,0
Victoria University of Wellington,100,100,,,0,0,0
RMIT University,100,100,,,0,0,0
SOAS University of London,100,100,,,0,0,0
Dalhousie University,100,100,,,0,0,0
University of South Australia,100,100,,,0,0,0
University of St.Gallen (HSG),100,100,,,0,0,0
Curtin University,100,100,,,0,0,0
Qatar University,100,100,,,0,0,0
Khalifa University,100,100,,,0,0,0
United Arab Emirates University,100,100,,,0,0,0
Singapore Management University,100,100,,,0,0,0
American University of Sharjah,100,100,,,0,0,0
Sultan Qaboos University,100,100,,,0,0,0
King Khalid University,100,100,,,0,0,0
University of Macau,100,100,,,0,0,0
American University in Dubai,100,100,,,0,0,0
University of Sharjah,100,100,,,0,0,0
Abu Dhabi University,100,100,,,0,0,0
INSEAD,100,100,,,0,0,0
London Business School,100,100,,,0,0,0
ESCP Europe - Paris,100,100,,,0,0,0
HEC Paris School of Management,100,100,,,0,0,0
King Abdullah University of Science & Technology,100,100,,,0,0,0
,,,,,,17.06898371,46.63262226
,,,,,,0.03662872,0.100070005
,,,,,,0.191386312,
