University,Int'l Students-15,Int'l Students-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Peking University,45.2,49.6,,,-4.4,-0.097345133,0.009476075,,,0.097345133
Emory University,45.2,51.4,,,-6.2,-0.137168142,0.018815099,,,0.137168142
"Lingnan University, Hong Kong",45.1,44.8,,,0.3,0.006651885,4.42476E-005,,,0.006651885
Aix-Marseille University,44.8,33.6,,,11.2,0.25,0.0625,,,0.25
"University of California, Santa Barbara (UCSB)",44.7,40.1,,,4.6,0.102908277,0.010590114,,,0.102908277
Chalmers University of Technology,44.6,51.9,,,-7.3,-0.16367713,0.026790203,,,0.16367713
Stockholm School of Economics,44.4,50.6,,,-6.2,-0.13963964,0.019499229,,,0.13963964
University of Victoria,44.3,47.2,,,-2.9,-0.065462754,0.004285372,,,0.065462754
University Duesseldorf,44.2,34.5,,,9.7,0.219457014,0.048161381,,,0.219457014
University of San Francisco,43.9,50.4,,,-6.5,-0.148063781,0.021922883,,,0.148063781
University of Washington,43.8,47.5,,,-3.7,-0.084474886,0.007136006,,,0.084474886
Université de Toulouse II-Le Mirail,43.6,59,,,-15.4,-0.353211009,0.124758017,,,0.353211009
University of Bern,43.5,39.9,,,3.6,0.082758621,0.006848989,,,0.082758621
Baylor College of Medicine,43.4,38.8,,,4.6,0.105990783,0.011234046,,,0.105990783
Moscow State Institute of International Relations (MGIMO University),43.2,36.1,,,7.1,0.164351852,0.027011531,,,0.164351852
Memorial University of Newfoundland,43.2,43,,,0.2,0.00462963,2.14335E-005,,,0.00462963
Université Lumière Lyon 2,42.8,37.4,,,5.4,0.126168224,0.015918421,,,0.126168224
Humboldt-Universität zu Berlin,42.8,39.8,,,3,0.070093458,0.004913093,,,0.070093458
University of Oregon,42.7,37.3,,,5.4,0.1264637,0.015993067,,,0.1264637
"University of California, San Diego (UCSD)",42.4,39.1,,,3.3,0.077830189,0.006057538,,,0.077830189
University of Manitoba,42.4,56.2,,,-13.8,-0.325471698,0.105931826,,,0.325471698
Technische Universität Dresden,42.2,36.2,,,6,0.142180095,0.020215179,,,0.142180095
University of Michigan,42.2,37.9,,,4.3,0.101895735,0.010382741,,,0.101895735
Plymouth University,42,34,,,8,0.19047619,0.036281179,,,0.19047619
Ruhr-Universität Bochum,41.6,36.6,,,5,0.120192308,0.014446191,,,0.120192308
North Carolina State University,41.6,40.1,,,1.5,0.036057692,0.001300157,,,0.036057692
KU Leuven,41.6,41.3,,,0.3,0.007211538,5.20063E-005,,,0.007211538
Université de Cergy-Pontoise,41.5,33.1,,,8.4,0.202409639,0.040969662,,,0.202409639
Norwegian University of Science And Technology,41.1,28,,,13.1,0.318734793,0.101591868,,,0.318734793
"University of Rome ""Tor Vergata""",40.9,21.1,,,19.8,0.484107579,0.234360148,,,0.484107579
Waseda University,40.2,37.2,,,3,0.074626866,0.005569169,,,0.074626866
Université de Montpellier,40.1,41,,,-0.9,-0.02244389,0.000503728,,,0.02244389
Khazar University,39.9,35.9,,,4,0.100250627,0.010050188,,,0.100250627
Ludwig-Maximilians-Universität München,39.9,39,,,0.9,0.022556391,0.000508791,,,0.022556391
Arizona State University,39.9,58.3,,,-18.4,-0.461152882,0.212661981,,,0.461152882
Technische Universität Braunschweig,39.8,34.3,,,5.5,0.138190955,0.01909674,,,0.138190955
Universitat Pompeu Fabra,39.8,34.5,,,5.3,0.133165829,0.017733138,,,0.133165829
Universit Paul-Valery Montpellier 3,39.6,34.1,,,5.5,0.138888889,0.019290123,,,0.138888889
Kyung Hee University,39.6,37.3,,,2.3,0.058080808,0.00337338,,,0.058080808
University of Iowa,39.5,33.4,,,6.1,0.15443038,0.023848742,,,0.15443038
Kuwait University,39.4,35.5,,,3.9,0.098984772,0.009797985,,,0.098984772
Czech Technical University in Prague,39.4,39,,,0.4,0.010152284,0.000103069,,,0.010152284
Korea University,39.2,35.1,,,4.1,0.104591837,0.010939452,,,0.104591837
Rheinische Friedrich-Wilhelms-Universität Bonn,39.1,34.1,,,5,0.127877238,0.016352588,,,0.127877238
Ulster University,39,24,,,15,0.384615385,0.147928994,,,0.384615385
Laval University,38.9,35,,,3.9,0.100257069,0.01005148,,,0.100257069
Karl-Franzens-Universitaet Graz,38.9,35.8,,,3.1,0.079691517,0.006350738,,,0.079691517
Radboud University,38.8,33.9,,,4.9,0.12628866,0.015948826,,,0.12628866
Aalto University,38.7,30,,,8.7,0.224806202,0.050537828,,,0.224806202
Corvinus University of Budapest,38.7,39.2,,,-0.5,-0.012919897,0.000166924,,,0.012919897
University Complutense Madrid,38.6,36.8,,,1.8,0.046632124,0.002174555,,,0.046632124
École Normale Supérieure de Lyon,38.4,27.6,,,10.8,0.28125,0.079101563,,,0.28125
University of Szeged,38.4,42.5,,,-4.1,-0.106770833,0.011400011,,,0.106770833
American University,38.3,35.2,,,3.1,0.080939948,0.006551275,,,0.080939948
Nottingham Trent University,38.1,23.6,,,14.5,0.380577428,0.144839179,,,0.380577428
Smith College,38,35.8,,,2.2,0.057894737,0.003351801,,,0.057894737
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),38,36.5,,,1.5,0.039473684,0.001558172,,,0.039473684
Universidad de Buenos Aires (UBA),38,58.4,,,-20.4,-0.536842105,0.288199446,,,0.536842105
Georg-August-University Goettingen,37.9,32.3,,,5.6,0.147757256,0.021832207,,,0.147757256
University of Copenhagen,37.8,31.3,,,6.5,0.171957672,0.029569441,,,0.171957672
University of Amsterdam,37.8,35.3,,,2.5,0.066137566,0.004374178,,,0.066137566
University of Minnesota,37.6,26.3,,,11.3,0.300531915,0.090319432,,,0.300531915
University of Windsor,37.5,32.9,,,4.6,0.122666667,0.015047111,,,0.122666667
Universität Hamburg,37,27.1,,,9.9,0.267567568,0.071592403,,,0.267567568
"University of Maryland, College Park",37,33.2,,,3.8,0.102702703,0.010547845,,,0.102702703
Université de Poitiers,36.8,46.3,,,-9.5,-0.258152174,0.066642545,,,0.258152174
Chung-Ang University(CAU),36.7,37.3,,,-0.6,-0.016348774,0.000267282,,,0.016348774
Tsinghua University,36.1,28.1,,,8,0.221606648,0.049109507,,,0.221606648
"University of California, Riverside",36.1,30.8,,,5.3,0.146814404,0.021554469,,,0.146814404
University of Wisconsin-Madison,36.1,33.1,,,3,0.083102493,0.006906024,,,0.083102493
University of Virginia,35.9,27.8,,,8.1,0.225626741,0.050907426,,,0.225626741
,,,,,,,,,,
,,,,,,SUM,7.157235016,,,33.57979715
,,,,,,SUM/N,0.018399062,,V abs,0.086323386
,,,,,,V,0.135643141,,,
