University,Citations per Fac-15,Citations per Fac -16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Tongji University,45.2,38.5,,,6.7,0.148230088,0.021972159,,,0.148230088
Université Paris Descartes,45.1,37.5,,,7.6,0.168514412,0.028397107,,,0.168514412
Xi’an Jiaotong University,45.1,38.5,,,6.6,0.146341463,0.021415824,,,0.146341463
Université de Montpellier,45.1,39.5,,,5.6,0.124168514,0.01541782,,,0.124168514
University of Central Florida,45,32,,,13,0.288888889,0.08345679,,,0.288888889
Bogaziçi Üniversitesi,45,33.4,,,11.6,0.257777778,0.066449383,,,0.257777778
Beijing Institute of Technology,44.9,37.7,,,7.2,0.160356347,0.025714158,,,0.160356347
Sapienza University of Rome,44.9,38.1,,,6.8,0.151447661,0.022936394,,,0.151447661
Charles Darwin University,44.2,38.1,,,6.1,0.13800905,0.019046498,,,0.13800905
University of Cincinnati,44.2,38.7,,,5.5,0.124434389,0.015483917,,,0.124434389
Abo Akademi University,44.1,30.2,,,13.9,0.315192744,0.099346466,,,0.315192744
University of Alabama,43.9,38.4,,,5.5,0.125284738,0.015696266,,,0.125284738
Ecole Normale Supérieure de Cachan,43.8,36.7,,,7.1,0.162100457,0.026276558,,,0.162100457
Utah State University,43.8,36.8,,,7,0.159817352,0.025541586,,,0.159817352
Sungkyunkwan University (SKKU),43.5,36.9,,,6.6,0.151724138,0.023020214,,,0.151724138
Universidade Estadual de Campinas (Unicamp),43.4,33.6,,,9.8,0.225806452,0.050988554,,,0.225806452
Vanderbilt University,43.4,35.8,,,7.6,0.175115207,0.030665336,,,0.175115207
Universität Regensburg,43.3,35.1,,,8.2,0.189376443,0.035863437,,,0.189376443
Ruprecht-Karls-Universitaet Heidelberg,43.3,36.4,,,6.9,0.159353349,0.02539349,,,0.159353349
Victoria University,43.2,25,,,18.2,0.421296296,0.177490569,,,0.421296296
University of Oulu,43.1,35.5,,,7.6,0.176334107,0.031093717,,,0.176334107
Carleton University,42.9,31.3,,,11.6,0.27039627,0.073114143,,,0.27039627
Korea University,42.6,34.9,,,7.7,0.180751174,0.032670987,,,0.180751174
University of South Australia,42.6,37.3,,,5.3,0.124413146,0.015478631,,,0.124413146
University of Tasmania,42.5,35.7,,,6.8,0.16,0.0256,,,0.16
Perugia University,42.5,36.8,,,5.7,0.134117647,0.017987543,,,0.134117647
Copenhagen Business School,42.3,34.4,,,7.9,0.186761229,0.034879757,,,0.186761229
Oregon State University,42.3,35.7,,,6.6,0.156028369,0.024344852,,,0.156028369
University of Technology Sydney,42.3,37.7,,,4.6,0.108747045,0.01182592,,,0.108747045
University of Saskatchewan,42.2,34.9,,,7.3,0.172985782,0.029924081,,,0.172985782
Baylor College of Medicine,42.1,35.8,,,6.3,0.149643705,0.022393239,,,0.149643705
Griffith University,42.1,36.5,,,5.6,0.133016627,0.017693423,,,0.133016627
Bar-Ilan University,42,34.7,,,7.3,0.173809524,0.030209751,,,0.173809524
Swansea University,41.9,32.2,,,9.7,0.23150358,0.053593908,,,0.23150358
Humboldt-Universität zu Berlin,41.7,35.1,,,6.6,0.158273381,0.025050463,,,0.158273381
University of Miami,41.4,35.1,,,6.3,0.152173913,0.0231569,,,0.152173913
Concordia University,41,29.3,,,11.7,0.285365854,0.08143367,,,0.285365854
Ghent University,40.9,33.7,,,7.2,0.17603912,0.030989772,,,0.17603912
Washington State University,40.6,33.2,,,7.4,0.18226601,0.033220898,,,0.18226601
Deakin University,40.5,35.7,,,4.8,0.118518519,0.014046639,,,0.118518519
Plymouth University,40.3,32.7,,,7.6,0.188585608,0.035564532,,,0.188585608
Yonsei University,40.3,33.6,,,6.7,0.166253102,0.027640094,,,0.166253102
University of New Mexico,40.2,32.8,,,7.4,0.184079602,0.0338853,,,0.184079602
University of Mississippi,40.1,33.7,,,6.4,0.159600998,0.025472478,,,0.159600998
New Jersey Institute of Technology (NJIT),39.7,28.3,,,11.4,0.287153652,0.08245722,,,0.287153652
Curtin University,39.5,33.4,,,6.1,0.15443038,0.023848742,,,0.15443038
Universität Duisburg-Essen,39.5,34.4,,,5.1,0.129113924,0.016670405,,,0.129113924
King Fahd University of Petroleum & Minerals,39.4,31.4,,,8,0.203045685,0.04122755,,,0.203045685
University of Milan,39.2,34.4,,,4.8,0.12244898,0.014993753,,,0.12244898
Laval University,38.9,31.5,,,7.4,0.190231362,0.036187971,,,0.190231362
Lincoln University,38.9,37.9,,,1,0.025706941,0.000660847,,,0.025706941
University of Gothenburg,38.8,32.1,,,6.7,0.172680412,0.029818525,,,0.172680412
University of Barcelona,38.8,32.4,,,6.4,0.164948454,0.027207992,,,0.164948454
University of Lausanne,38.5,31.6,,,6.9,0.179220779,0.032120088,,,0.179220779
Tokyo University of Science,38.4,30.1,,,8.3,0.216145833,0.046719021,,,0.216145833
Georgetown University,38.3,31.8,,,6.5,0.169712794,0.028802432,,,0.169712794
Queensland University of Technology (QUT),38.1,31.4,,,6.7,0.175853018,0.030924284,,,0.175853018
Jilin University,38,22.5,,,15.5,0.407894737,0.166378116,,,0.407894737
Auburn University,38,27.2,,,10.8,0.284210526,0.080775623,,,0.284210526
University of Oregon,37.9,31.5,,,6.4,0.168865435,0.028515535,,,0.168865435
National Taipei University of Technology,37.9,31.6,,,6.3,0.166226913,0.027631387,,,0.166226913
"City, University of London",37.9,33.3,,,4.6,0.121372032,0.01473117,,,0.121372032
Universidad Autónoma de Madrid,37.8,26.3,,,11.5,0.304232804,0.092557599,,,0.304232804
Georgia State University,37.7,31.2,,,6.5,0.172413793,0.029726516,,,0.172413793
Binghamton University SUNY,37.6,27.8,,,9.8,0.260638298,0.067932322,,,0.260638298
Université Claude Bernard Lyon 1,37.5,30.2,,,7.3,0.194666667,0.037895111,,,0.194666667
Aristotle University of Thessaloniki,37.4,29.7,,,7.7,0.205882353,0.042387543,,,0.205882353
Bilkent University,37.4,30.1,,,7.3,0.195187166,0.03809803,,,0.195187166
Université de Strasbourg,37.3,28.1,,,9.2,0.246648794,0.060835627,,,0.246648794
University of Coimbra,37.2,31,,,6.2,0.166666667,0.027777778,,,0.166666667
University of New Hampshire,37,30.8,,,6.2,0.167567568,0.02807889,,,0.167567568
University of the Witwatersrand,36.9,30.3,,,6.6,0.178861789,0.031991539,,,0.178861789
University of New England Australia,36.8,25.3,,,11.5,0.3125,0.09765625,,,0.3125
University of Helsinki,36.8,31.2,,,5.6,0.152173913,0.0231569,,,0.152173913
,,,,,,,,,,
,,,,,,SUM,9.6434632,,,51.1170837
,,,,,,SUM/N,0.024413831,,V abs,0.129410338
,,,,,,V,0.156249259,,,
