University,Faculty Student-15,Faculty Student-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
Harbin Institute of Technology,49.4,49.6,,,-0.2,-0.004048583,1.6391E-05,,,0.004048583
"National Technical University  ""Kharkiv Polytechnic Institute""",49.4,52.9,,,-3.5,-0.070850202,0.005019751,,,0.070850202
The American University in Cairo,49.2,35.5,,,13.7,0.278455285,0.077537345,,,0.278455285
Johannes Gutenberg Universität Mainz,49.2,47.5,,,1.7,0.034552846,0.001193899,,,0.034552846
Université de Sherbrooke,49.1,31,,,18.1,0.368635438,0.135892086,,,0.368635438
Ben Gurion University of The Negev,49,28.3,,,20.7,0.42244898,0.17846314,,,0.42244898
Durham University,48.7,30.7,,,18,0.369609856,0.136611446,,,0.369609856
Charles University in Prague,48.6,37.6,,,11,0.226337449,0.051228641,,,0.226337449
Universidad de Guadalajara (UDG),48.3,29.8,,,18.5,0.383022774,0.146706446,,,0.383022774
"The University of Tennessee, Knoxville",48.2,28.8,,,19.4,0.402489627,0.161997899,,,0.402489627
Tallinn University of Technology,48.2,33.2,,,15,0.31120332,0.096847506,,,0.31120332
Dublin City University,48.1,36.2,,,11.9,0.247401247,0.061207377,,,0.247401247
Universiti Putra Malaysia (UPM),48.1,48.9,,,-0.8,-0.016632017,0.000276624,,,0.016632017
Universidade Nova de Lisboa,48,38.7,,,9.3,0.19375,0.037539063,,,0.19375
University of Bayreuth,47.8,27.3,,,20.5,0.428870293,0.183929728,,,0.428870293
Drexel University,47.8,40.3,,,7.5,0.156903766,0.024618792,,,0.156903766
Universidad de Zaragoza,47.8,47,,,0.8,0.016736402,0.000280107,,,0.016736402
"University of Illinois, Chicago (UIC)",47.5,46.8,,,0.7,0.014736842,0.000217175,,,0.014736842
Shanghai Jiao Tong University,47.3,37.3,,,10,0.21141649,0.044696932,,,0.21141649
University of Surrey,47.1,33.1,,,14,0.297239915,0.088351567,,,0.297239915
Utrecht University,47.1,41.8,,,5.3,0.112526539,0.012662222,,,0.112526539
INSEAD,47.1,52.5,,,-5.4,-0.114649682,0.013144549,,,0.114649682
University of Southern Denmark,47,37.9,,,9.1,0.193617021,0.037487551,,,0.193617021
University of British Columbia,47,38.1,,,8.9,0.189361702,0.035857854,,,0.189361702
The Hong Kong Polytechnic University,47,48.1,,,-1.1,-0.023404255,0.000547759,,,0.023404255
Uppsala University,47,48.5,,,-1.5,-0.031914894,0.00101856,,,0.031914894
"University of California, Berkeley (UCB)",46.9,31.4,,,15.5,0.330490405,0.109223908,,,0.330490405
University of Wyoming,46.9,37.5,,,9.4,0.200426439,0.040170758,,,0.200426439
Politécnica de Madrid,46.5,27.2,,,19.3,0.415053763,0.172269627,,,0.415053763
Khazar University,46.5,38.7,,,7.8,0.167741935,0.028137357,,,0.167741935
Kazakh Ablai khan University of International Relations and World Languages,46.5,42.8,,,3.7,0.079569892,0.006331368,,,0.079569892
Osaka City University,46.5,50.3,,,-3.8,-0.08172043,0.006678229,,,0.08172043
Swansea University,46.4,40.1,,,6.3,0.135775862,0.018435085,,,0.135775862
University of Bern,46.3,27.8,,,18.5,0.399568035,0.159654614,,,0.399568035
Ateneo de Manila University,46.1,33,,,13.1,0.284164859,0.080749667,,,0.284164859
National Taiwan University (NTU),46.1,36,,,10.1,0.219088937,0.047999962,,,0.219088937
University of the Pacific,46,37.4,,,8.6,0.186956522,0.034952741,,,0.186956522
WHU - Otto Beisheim School of Management,45.6,28.2,,,17.4,0.381578947,0.145602493,,,0.381578947
Tianjin University,45.4,28,,,17.4,0.383259912,0.14688816,,,0.383259912
University of the Philippines,45.3,46,,,-0.7,-0.015452539,0.000238781,,,0.015452539
Universität Konstanz,45.2,40.4,,,4.8,0.10619469,0.011277312,,,0.10619469
Lancaster University,45.1,42.3,,,2.8,0.062084257,0.003854455,,,0.062084257
Sofia University St. Kliment Ohridski,45.1,48.8,,,-3.7,-0.082039911,0.006730547,,,0.082039911
University of Utah,45,46.2,,,-1.2,-0.026666667,0.000711111,,,0.026666667
College of William & Mary,44.8,35,,,9.8,0.21875,0.047851563,,,0.21875
Chiba University,44.5,48.4,,,-3.9,-0.087640449,0.007680848,,,0.087640449
Georgia Institute of Technology,44.5,48.8,,,-4.3,-0.096629213,0.009337205,,,0.096629213
Lobachevsky University,44.4,44.8,,,-0.4,-0.009009009,8.11622E-05,,,0.009009009
Marquette University,44.3,35.4,,,8.9,0.200902935,0.040361989,,,0.200902935
Universiti Sains Malaysia (USM),44.3,36.8,,,7.5,0.169300226,0.028662566,,,0.169300226
The University of Exeter,44.3,38.6,,,5.7,0.128668172,0.016555498,,,0.128668172
University of Twente,44.3,42.1,,,2.2,0.0496614,0.002466255,,,0.0496614
Loyola University Chicago,44.1,32.2,,,11.9,0.26984127,0.072814311,,,0.26984127
Michigan Technological University,44.1,34,,,10.1,0.229024943,0.052452425,,,0.229024943
Renmin (People's) University of China,43.9,38.8,,,5.1,0.116173121,0.013496194,,,0.116173121
University of Cincinnati,43.8,28.8,,,15,0.342465753,0.117282792,,,0.342465753
University of Latvia,43.6,36.4,,,7.2,0.165137615,0.027270432,,,0.165137615
Leiden University,43.6,38.7,,,4.9,0.112385321,0.01263046,,,0.112385321
Universitas Indonesia,43.6,42.4,,,1.2,0.027522936,0.000757512,,,0.027522936
University of Tulsa,43.5,34.2,,,9.3,0.213793103,0.045707491,,,0.213793103
University of Manitoba,43.4,42.7,,,0.7,0.016129032,0.000260146,,,0.016129032
American University,43.3,30.8,,,12.5,0.288683603,0.083338223,,,0.288683603
Aarhus University,43.3,35,,,8.3,0.191685912,0.036743489,,,0.191685912
Pusan National University,43.3,36.2,,,7.1,0.163972286,0.026886911,,,0.163972286
University College Cork,43.2,29.5,,,13.7,0.31712963,0.100571202,,,0.31712963
Gwangju Institute of Science and Technology (GIST),43.2,35,,,8.2,0.189814815,0.036029664,,,0.189814815
George Mason University,43.1,25.2,,,17.9,0.415313225,0.172485075,,,0.415313225
National Central University,43.1,32.9,,,10.2,0.236658933,0.05600745,,,0.236658933
University of Southern California,42.9,33.4,,,9.5,0.221445221,0.049037986,,,0.221445221
University of Seoul,42.5,33.9,,,8.6,0.202352941,0.040946713,,,0.202352941
Nicolaus Copernicus University,42.4,32,,,10.4,0.245283019,0.060163759,,,0.245283019
Abo Akademi University,42.4,32.9,,,9.5,0.224056604,0.050201362,,,0.224056604
Smith College,42.4,44.5,,,-2.1,-0.049528302,0.002453053,,,0.049528302
Pontificia Universidad Católica del Ecuador (PUCE),42.3,32.7,,,9.6,0.226950355,0.051506463,,,0.226950355
The University of Adelaide,42.2,29.7,,,12.5,0.296208531,0.087739494,,,0.296208531
Beijing Normal University,42.2,31.8,,,10.4,0.246445498,0.060735383,,,0.246445498
The University of Queensland,41.9,33.1,,,8.8,0.210023866,0.044110024,,,0.210023866
"University of Missouri, Columbia",41.7,26.2,,,15.5,0.371702638,0.138162851,,,0.371702638
Koc University,41.4,40.2,,,1.2,0.028985507,0.00084016,,,0.028985507
Southeast University,40.7,31.8,,,8.9,0.218673219,0.047817977,,,0.218673219
,,,,,,,,,,
,,,,,,SUM,10.50929937,,,45.89288128
,,,,,,SUM/N,0.02674122,,V abs,0.116775779
,,,,,,V,0.163527428,,,
