University,Rank13,Rank14,R11-R12,D2/ R11,E2^2,,ABS,ABS/ R11
Pontificia Universidad Javeriana,349,347,2,0.005730659,3.28404528698451E-005,,2,0.005730659
Dublin City University,349,366,-17,-0.0487106017,0.0023727227,,17,0.0487106017
James Cook University,351,350,1,0.0028490028,8.11681723362635E-006,,1,0.0028490028
Novosibirsk State University,352,328,24,0.0681818182,0.0046487603,,24,0.0681818182
Universidade Nova de Lisboa,353,312,41,0.1161473088,0.0134901973,,41,0.1161473088
Rensselaer Polytechnic Institute,353,359,-6,-0.0169971671,0.0002889037,,6,0.0169971671
Universiti Teknologi Malaysia,355,294,61,0.1718309859,0.0295258877,,61,0.1718309859
Universiti Sains Malaysia (USM),355,309,46,0.1295774648,0.0167903194,,46,0.1295774648
Aix-Marseille University,355,341,14,0.0394366197,0.001555247,,14,0.0394366197
University of Coimbra,358,351,7,0.0195530726,0.0003823226,,7,0.0195530726
Université Paris Dauphine,358,367,-9,-0.0251396648,0.0006320027,,9,0.0251396648
King Abdulaziz University (KAU),360,334,26,0.0722222222,0.0052160494,,26,0.0722222222
Brunel University London,360,355,5,0.0138888889,0.0001929012,,5,0.0138888889
Ewha Womans University,362,355,7,0.0193370166,0.0003739202,,7,0.0193370166
Nankai University,363,328,35,0.0964187328,0.009296572,,35,0.0964187328
Taipei Medical University,363,379,-16,-0.044077135,0.0019427938,,16,0.044077135
Universität Jena,363,397,-34,-0.0936639118,0.0087729284,,34,0.0936639118
University of Texas Dallas,366,377,-11,-0.0300546448,0.0009032817,,11,0.0300546448
Washington State University,366,379,-13,-0.0355191257,0.0012616083,,13,0.0355191257
Ruhr-Universität Bochum,366,388,-22,-0.0601092896,0.0036131267,,22,0.0601092896
Heriot-Watt University,369,352,17,0.0460704607,0.0021224873,,17,0.0460704607
Universität Bremen,370,348,22,0.0594594595,0.0035354273,,22,0.0594594595
Politecnico di Torino,370,365,5,0.0135135135,0.000182615,,5,0.0135135135
Xi’an Jiaotong University,372,379,-7,-0.0188172043,0.0003540872,,7,0.0188172043
Tilburg University,373,367,6,0.0160857909,0.0002587527,,6,0.0160857909
Oxford Brookes University,374,379,-5,-0.013368984,0.0001787297,,5,0.013368984
Jagiellonian University,376,371,5,0.0132978723,0.0001768334,,5,0.0132978723
University of Kansas,376,371,5,0.0132978723,0.0001768334,,5,0.0132978723
University of Tampere,376,385,-9,-0.0239361702,0.0005729402,,9,0.0239361702
University of Florence,379,352,27,0.0712401055,0.0050751526,,27,0.0712401055
Deakin University,380,360,20,0.0526315789,0.0027700831,,20,0.0526315789
University of the Philippines,380,367,13,0.0342105263,0.0011703601,,13,0.0342105263
Sun Yat-sen University,384,321,63,0.1640625,0.0269165039,,63,0.1640625
Moscow State Institute of International Relations (MGIMO University),386,399,-13,-0.0336787565,0.0011342586,,13,0.0336787565
Stellenbosch University,387,390,-3,-0.007751938,6.00925425154738E-005,,3,0.007751938
Politécnica de Madrid,389,385,4,0.0102827763,0.0001057355,,4,0.0102827763
University of Naples - Federico II,397,345,52,0.1309823678,0.0171563807,,52,0.1309823678
Northeastern University,397,399,-2,-0.0050377834,2.53792613365988E-005,,2,0.0050377834
Aston University,399,390,9,0.022556391,0.0005087908,,9,0.022556391
University of Turin,399,394,5,0.0125313283,0.0001570342,,5,0.0125313283
,,,,SUM,4.7119258091,,,28.434543634
,,,,V^2,0.0122387683,,V*,0.0738559575
,,,,V,0.110628967,,,
