Data set,"121 competencies of the Indian Institute of Technology, Kharagpur (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Kharagpur"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Kharagpur)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Kharagpur)","Publications from Indian Institute of Technology, Kharagpur (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Kharagpur)","Rank of Indian Institute of Technology, Kharagpur by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Kharagpur"
110 (EC),"Bhattacharyya S., Das P.K., Basu D.N.","Natural convection; Fluids; Heat transfer","Nuclear Energy and Engineering (70.5); Mechanical Engineering (29.5)",140,85.6,1.1%,8,5.6,6.5%,-13.4%,3,0.53,0.00,-2.43,36
111 (EC),"Ghosh A.K., Bhadoria P.B.S., Gill A.A.S.","mycorrhizal fungi; Fungi; Soil","Plant Science (72.0); Agronomy and Crop Science (28.0)",317,85.9,-0.7%,3,2.7,3.1%,52.0%,7,0.61,0.10,-0.19,4
112 (EC),"Dey S., Bose S.K., Sarkar S.","flow; turbulence; turbulent flow","Water Science and Technology (100.0)",212,85.5,-10.8%,10,5.1,6.0%,-51.0%,2,0.79,2.50,-4.89,55
113 (EC),"Biswal M.P., Chakravarty D., Barik S.K.","Stochastic programming; Optimization; Models","Management Science and Operations Research (53.5); Applied Mathematics (46.5)",189,82.9,-3.6%,12,10.8,13.1%,-24.3%,1,1.29,0.14,1.31,26
114 (EC),"Mal D., Mitra P., Ghosh K.","Porifera; Actinobacteria; Bacteria","Microbiology (69.7); Organic Chemistry (30.3)",295,85.4,8.4%,12,6.1,7.1%,-21.2%,1,1.37,0.60,0.26,149
115 (EC),"Majumder S.B., Maity A.K., Ghosh A.K.","Cerium compounds; Scanning electron microscopy; X ray diffraction","Condensed Matter Physics (100.0)",407,84.0,-7.1%,7,3.5,4.2%,58.6%,5,0.41,0.15,4.42,26
116 (EC),"Thakur A.K., Khastgir D.K., Chaki T.","Dielectric materials; Dielectric relaxation; Permittivity","Condensed Matter Physics (50.2); Materials Chemistry (49.8)",204,80.1,-6.6%,6,5.1,6.3%,17.6%,2,0.91,0.00,0.41,8
117 (EC),"Pradhan S.C., Reddy G.K., Mandal U.K.","Graphene; Buckling; Elasticity","Condensed Matter Physics (57.0); Mechanical Engineering (43.0)",235,69.5,-9.9%,8,3.1,4.5%,-66.6%,5,0.52,0.00,-1.14,75
118 (EC),"Bhowmick P., Biswas R., Mukhopadhyay J.","Hough transforms; Algorithms; Geometry","General Computer Science (52.8); Electrical and Electronic Engineering (47.2)",147,69.1,-4.7%,17,10.8,15.6%,10.5%,1,1.92,0.00,-0.22,18
119 (EC),"Ray D.K., Ghosh A.K., Pait M.","Ligands; Magnetic properties; Synthesis (chemical)","Inorganic Chemistry (100.0)",221,68.4,11.0%,15,8.9,13.0%,16.1%,1,1.27,0.86,-0.14,86
120 (EC),"Ganguly P., Dey P.K., Samanta S.","Fabrication; Photoresists; MEMS","Electrical and Electronic Engineering (100.0)",179,66.0,-16.1%,5,2.1,3.2%,34.1%,5,0.65,0.00,2.21,9
121 (EC),"Mandal P.K., Bhattacharyya T.K., Mandal D.K.","CMOS integrated circuits; Electric power utilization; Networks (circuits)","Electrical and Electronic Engineering (100.0)",135,53.0,-8.9%,3,1.4,2.6%,-38.4%,6,0.62,0.00,2.89,2

"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
