University,Citations per Faculty-14,Citations per Faculty-15,,,B2-C2,D2/B2,E2^2,,ABS(E2)
University of South Carolina,37.4,45.8,,,-8.4,-0.2245989305,0.0504446796,,0.2245989305
BogaziÃ§i Ãœniversitesi,37.3,45,,,-7.7,-0.2064343164,0.042615127,,0.2064343164
Boston College,37,65.5,,,-28.5,-0.7702702703,0.5933162893,,0.7702702703
Yonsei University,36.9,40.3,,,-3.4,-0.0921409214,0.0084899494,,0.0921409214
Missouri University of Science and Technology,36.7,70.9,,,-34.2,-0.931880109,0.8684005375,,0.931880109
Carleton University,36.6,42.9,,,-6.3,-0.1721311475,0.029629132,,0.1721311475
Politecnico di Milano,36.4,66.7,,,-30.3,-0.8324175824,0.6929190315,,0.8324175824
Nankai University,36.3,75.2,,,-38.9,-1.0716253444,1.1483808787,,1.0716253444
Tilburg University,36.3,72.5,,,-36.2,-0.9972451791,0.9944979472,,0.9972451791
Illinois Institute of Technology,36.3,46.4,,,-10.1,-0.2782369146,0.0774157806,,0.2782369146
Stockholm University,36.1,53.3,,,-17.2,-0.4764542936,0.2270086939,,0.4764542936
Clemson University,36,49.9,,,-13.9,-0.3861111111,0.1490817901,,0.3861111111
"The University of Newcastle, Australia (UON)",36,49.1,,,-13.1,-0.3638888889,0.1324151235,,0.3638888889
University of Strathclyde,35.9,50.1,,,-14.2,-0.3955431755,0.1564544037,,0.3955431755
Macquarie University,35.7,58.8,,,-23.1,-0.6470588235,0.4186851211,,0.6470588235
INSEAD,35,92.7,,,-57.7,-1.6485714286,2.7177877551,,1.6485714286
Aristotle University of Thessaloniki,35,37.4,,,-2.4,-0.0685714286,0.0047020408,,0.0685714286
University of Saskatchewan,34.8,42.2,,,-7.4,-0.2126436782,0.0452173339,,0.2126436782
Sungkyunkwan University (SKKU),34.1,43.5,,,-9.4,-0.275659824,0.0759883386,,0.275659824
University of Surrey,34,49.4,,,-15.4,-0.4529411765,0.2051557093,,0.4529411765
University of Wollongong,33.7,63.9,,,-30.2,-0.8961424332,0.8030712606,,0.8961424332
UniversitÃ© de LiÃ¨ge,33.4,73.5,,,-40.1,-1.2005988024,1.4414374843,,1.2005988024
Bar-Ilan University,33.4,42,,,-8.6,-0.2574850299,0.0662985406,,0.2574850299
University of Oregon,33.2,37.9,,,-4.7,-0.1415662651,0.0200410074,,0.1415662651
Korea University,33.1,42.6,,,-9.5,-0.2870090634,0.0823742025,,0.2870090634
University of New Hampshire,32.8,37,,,-4.2,-0.1280487805,0.0163964902,,0.1280487805
Loughborough University,31.1,59.4,,,-28.3,-0.9099678457,0.8280414801,,0.9099678457
Aston University,29.8,51,,,-21.2,-0.711409396,0.5061033287,,0.711409396
University of the Witwatersrand,29.7,36.9,,,-7.2,-0.2424242424,0.0587695133,,0.2424242424
Ben Gurion University of The Negev,29.1,67.1,,,-38,-1.3058419244,1.7052231315,,1.3058419244
Heriot-Watt University,28.6,45.2,,,-16.6,-0.5804195804,0.3368868893,,0.5804195804
Hong Kong Baptist University,28.5,55.4,,,-26.9,-0.9438596491,0.8908710372,,0.9438596491
Ecole Normale SupÃ©rieure de Cachan,28,43.8,,,-15.8,-0.5642857143,0.3184183673,,0.5642857143
University of Coimbra,28,37.2,,,-9.2,-0.3285714286,0.1079591837,,0.3285714286
Deakin University,27.9,40.5,,,-12.6,-0.4516129032,0.2039542144,,0.4516129032
Victoria University of Wellington,27.7,54.1,,,-26.4,-0.9530685921,0.9083397412,,0.9530685921
"KIT, Karlsruhe Institute of Technology",26.7,65.8,,,-39.1,-1.4644194757,2.1445244007,,1.4644194757
National Taiwan University of Science and Technology (Taiwan Tech),26.1,58.2,,,-32.1,-1.2298850575,1.5126172546,,1.2298850575
Queensland University of Technology (QUT),25.1,38.1,,,-13,-0.5179282869,0.2682497103,,0.5179282869
Beijing Normal University,24.6,45.8,,,-21.2,-0.8617886179,0.7426796219,,0.8617886179
University of Essex,23.5,55,,,-31.5,-1.3404255319,1.7967406066,,1.3404255319
Griffith University,23.1,42.1,,,-19,-0.8225108225,0.6765240531,,0.8225108225
London School of Economics and Political Science (LSE),22.6,77.6,,,-55,-2.4336283186,5.922546793,,2.4336283186
University of South Australia,21.6,42.6,,,-21,-0.9722222222,0.9452160494,,0.9722222222
Xiâ€™an Jiaotong University,20.5,45.1,,,-24.6,-1.2,1.44,,1.2
Wuhan University,20.3,50.6,,,-30.3,-1.4926108374,2.227887112,,1.4926108374
Curtin University,20.3,39.5,,,-19.2,-0.9458128079,0.8945618676,,0.9458128079
Bilkent University,19.9,37.4,,,-17.5,-0.8793969849,0.7733390571,,0.8793969849
Aalto University,19.2,63.5,,,-44.3,-2.3072916667,5.3235948351,,2.3072916667
University of Technology Sydney,18.9,42.3,,,-23.4,-1.2380952381,1.5328798186,,1.2380952381
"City, University of London",15.9,37.9,,,-22,-1.3836477987,1.914481231,,1.3836477987
Tongji University,15.8,45.2,,,-29.4,-1.8607594937,3.4624258933,,1.8607594937
King Fahd University of Petroleum & Minerals,11.4,39.4,,,-28,-2.4561403509,6.0326254232,,2.4561403509
,,,,,,,,,
,,,,,,SUM,84.4005214943,,111.3009451419
,,,,,,SUM/N,0.2384195522,Abs C.I.,0.3144094496
,,,,,,C.I,0.4882822465,,
