University,Academic Reputation-14,Academic Reputation-15,Academic Reputation-14,Academic Reputation-15,B2-C2,D2/B2,E2^2,,ABS
Universidade Nova de Lisboa,43.4,35.7,,,7.7,0.1774193548,0.0314776275,,0.1774193548
University of Strathclyde,43.3,37.4,,,5.9,0.1362586605,0.0185664226,,0.1362586605
King Fahd University of Petroleum & Minerals,43.3,37.2,,,6.1,0.1408775982,0.0198464977,,0.1408775982
Dalhousie University,43.2,37,,,6.2,0.1435185185,0.0205975652,,0.1435185185
University of Canterbury,42.8,49.1,,,-6.3,-0.1471962617,0.0216667395,,0.1471962617
University of Twente,42.7,37.4,,,5.3,0.1241217799,0.0154062162,,0.1241217799
Universidad de Antioquia,42.6,39.8,,,2.8,0.0657276995,0.0043201305,,0.0657276995
University of Pretoria,42.6,37.9,,,4.7,0.1103286385,0.0121724085,,0.1103286385
PontifÃ­cia Universidade CatÃ³lica do Rio de Janeiro,42,43.3,,,-1.3,-0.030952381,0.0009580499,,0.030952381
Maastricht University,42,37.5,,,4.5,0.1071428571,0.0114795918,,0.1071428571
Universidad CatÃ³lica Andres Bello,42,36.1,,,5.9,0.1404761905,0.0197335601,,0.1404761905
George Washington University,41.7,41.5,,,0.2,0.0047961631,2.30031801896619E-005,,0.0047961631
Universitat PolitÃ¨cnica de Catalunya,41.6,43,,,-1.4,-0.0336538462,0.0011325814,,0.0336538462
Dartmouth College,41.6,41.1,,,0.5,0.0120192308,0.0001444619,,0.0120192308
UniversitÃ¤t Stuttgart,41.3,44.2,,,-2.9,-0.0702179177,0.004930556,,0.0702179177
Cairo University,41.2,42.9,,,-1.7,-0.0412621359,0.0017025639,,0.0412621359
UniversitÃ¤t Bremen,41.2,39.5,,,1.7,0.0412621359,0.0017025639,,0.0412621359
Vrije Universiteit Brussel (VUB),41.1,41.4,,,-0.3,-0.0072992701,5.32793435984858E-005,,0.0072992701
National Taiwan Normal University,41,40.5,,,0.5,0.012195122,0.000148721,,0.012195122
Karl-Franzens-Universitaet Graz,41,38.5,,,2.5,0.0609756098,0.003718025,,0.0609756098
University of East Anglia (UEA),40.9,36.7,,,4.2,0.1026894866,0.0105451306,,0.1026894866
University of Bern,40.8,43.8,,,-3,-0.0735294118,0.0054065744,,0.0735294118
University College Cork,40.6,44.4,,,-3.8,-0.0935960591,0.0087602223,,0.0935960591
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,40.5,38.4,,,2.1,0.0518518519,0.0026886145,,0.0518518519
Universiti Teknologi Malaysia,40.5,32.8,,,7.7,0.1901234568,0.0361469288,,0.1901234568
UniversitÃ© Paul Sabatier Toulouse III,40.3,42.3,,,-2,-0.0496277916,0.0024629177,,0.0496277916
King Saud University,40.3,42.2,,,-1.9,-0.047146402,0.0022227832,,0.047146402
Universitat de Valencia,40.3,40.7,,,-0.4,-0.0099255583,9.85167078179193E-005,,0.0099255583
Indian Institute of Technology Kharagpur (IIT-KGP),40.3,37.2,40.3,37.2,3.1,0.0769230769,0.0059171598,,0.0769230769
Hanyang University,40.1,44.3,,,-4.2,-0.1047381546,0.010970081,,0.1047381546
University of Notre Dame,40.1,42.2,,,-2.1,-0.0523690773,0.0027425203,,0.0523690773
Weizmann Institute of Science,40.1,39.2,,,0.9,0.0224438903,0.0005037282,,0.0224438903
Universidad Austral,40.1,36.5,,,3.6,0.0897755611,0.0080596514,,0.0897755611
Xiamen University,40.1,34.1,,,6,0.1496259352,0.0223879205,,0.1496259352
UniversitÃ© Paris Descartes,39.9,37.8,,,2.1,0.0526315789,0.0027700831,,0.0526315789
Griffith University,39.8,34.8,,,5,0.1256281407,0.0157824297,,0.1256281407
Ateneo de Manila University,39.8,32.8,,,7,0.175879397,0.0309335623,,0.175879397
Massey University,39.7,38.7,,,1,0.0251889169,0.0006344815,,0.0251889169
Tongji University,39.6,37.2,,,2.4,0.0606060606,0.0036730946,,0.0606060606
National Sun Yat-sen University,39.5,32.7,,,6.8,0.1721518987,0.0296362762,,0.1721518987
Loughborough University,39.3,38.9,,,0.4,0.010178117,0.0001035941,,0.010178117
Bocconi University,39.2,35.9,,,3.3,0.0841836735,0.0070868909,,0.0841836735
Kyung Hee University,39,34,,,5,0.1282051282,0.0164365549,,0.1282051282
Sciences Po,38.9,36.8,,,2.1,0.0539845758,0.0029143344,,0.0539845758
UniversitÃ© Paris Dauphine,38.9,35.6,,,3.3,0.0848329049,0.0071966218,,0.0848329049
Bilkent University,38.9,34.7,,,4.2,0.1079691517,0.0116573377,,0.1079691517
Johannes Gutenberg UniversitÃ¤t Mainz,38.6,36.4,,,2.2,0.0569948187,0.0032484094,,0.0569948187
University of Salamanca,38.6,34.7,,,3.9,0.1010362694,0.0102083277,,0.1010362694
Ruhr-UniversitÃ¤t Bochum,38.4,36.6,,,1.8,0.046875,0.0021972656,,0.046875
King Abdulaziz University (KAU),38.3,34.4,,,3.9,0.1018276762,0.0103688756,,0.1018276762
UNESP,38.3,33.4,,,4.9,0.1279373368,0.0163679622,,0.1279373368
RMIT University,38.2,44.5,,,-6.3,-0.164921466,0.0271990899,,0.164921466
Virginia Polytechnic Institute and State University,38.2,38.7,,,-0.5,-0.0130890052,0.0001713221,,0.0130890052
University of Rochester,38.1,38.9,,,-0.8,-0.0209973753,0.0004408898,,0.0209973753
SOAS University of London,37.8,42.2,,,-4.4,-0.1164021164,0.0135494527,,0.1164021164
University of Trento,37.8,32.7,,,5.1,0.1349206349,0.0182035777,,0.1349206349
UniversitÃ  Cattolica del Sacro Cuore,37.7,32.8,,,4.9,0.1299734748,0.0168931042,,0.1299734748
Laval University,37.6,37.6,,,0,0,0,,0
Kasetsart University,37.4,34.4,,,3,0.0802139037,0.0064342704,,0.0802139037
Deakin University,37.3,41.2,,,-3.9,-0.1045576408,0.0109323002,,0.1045576408
Chiang Mai University,37.3,35.9,,,1.4,0.0375335121,0.0014087645,,0.0375335121
National University of Ireland Galway,37.3,34.4,,,2.9,0.0777479893,0.0060447498,,0.0777479893
Technische UniversitÃ¤t Darmstadt,36.9,34.2,,,2.7,0.0731707317,0.005353956,,0.0731707317
INSEAD,36.8,38.1,,,-1.3,-0.035326087,0.0012479324,,0.035326087
UniversitÃ¤t Bielefeld,36.8,35.6,,,1.2,0.0326086957,0.001063327,,0.0326086957
Curtin University,36.7,38.9,,,-2.2,-0.0599455041,0.0035934635,,0.0599455041
Novosibirsk State University,36.7,35.1,,,1.6,0.0435967302,0.0019006749,,0.0435967302
"University of California, Santa Cruz",36.6,40.1,,,-3.5,-0.0956284153,0.0091447938,,0.0956284153
Hiroshima University,36.6,33.8,,,2.8,0.0765027322,0.005852668,,0.0765027322
Washington State University,36.5,39.1,,,-2.6,-0.0712328767,0.0050741227,,0.0712328767
Oxford Brookes University,36.3,39.3,,,-3,-0.0826446281,0.0068301346,,0.0826446281
Universidad de Costa Rica,35.9,42,,,-6.1,-0.1699164345,0.0288715947,,0.1699164345
UniversitÃ© du QuÃ©bec,35.9,42,,,-6.1,-0.1699164345,0.0288715947,,0.1699164345
Aalborg University,35.8,33.5,,,2.3,0.0642458101,0.0041275241,,0.0642458101
Pusan National University,35.7,34.3,,,1.4,0.0392156863,0.00153787,,0.0392156863
University of Leicester,35.6,32.8,,,2.8,0.0786516854,0.0061860876,,0.0786516854
University of Iowa,35.4,40.4,,,-5,-0.1412429379,0.0199495675,,0.1412429379
The American University in Cairo,35.2,36.8,,,-1.6,-0.0454545455,0.0020661157,,0.0454545455
University of Navarra,34.7,34.4,,,0.3,0.0086455331,7.4745243295769E-005,,0.0086455331
Czech Technical University in Prague,34.7,32.9,,,1.8,0.0518731988,0.0026908288,,0.0518731988
University of Dundee,34.5,34.5,,,0,0,0,,0
Universidad de ConcepciÃ³n,34.3,32.6,,,1.7,0.0495626822,0.0024564595,,0.0495626822
University of South Australia,34.1,34,,,0.1,0.0029325513,8.59985724237002E-006,,0.0029325513
Boston College,33.6,34.7,,,-1.1,-0.0327380952,0.0010717829,,0.0327380952
Xiâ€™an Jiaotong University,33.5,33.1,,,0.4,0.0119402985,0.0001425707,,0.0119402985
Iowa State University,32.2,36.4,,,-4.2,-0.1304347826,0.0170132325,,0.1304347826
University of Surrey,30.8,34.8,,,-4,-0.1298701299,0.0168662506,,0.1298701299
National Taiwan University of Science and Technology (Taiwan Tech),30.6,34.8,,,-4.2,-0.137254902,0.0188389081,,0.137254902
North Carolina State University,30.4,36.1,,,-5.7,-0.1875,0.03515625,,0.1875
Shanghai University,0,38.5,,,,,,,
Renmin (People's) University of China,0,37.8,,,,,,,
Florida State University,0,37.1,,,,,,,
Pontificia Universidad CatÃ³lica Argentina Santa MarÃ­a de los Buenos Aires (UCA),0,35.5,,,,,,,
"Goldsmiths, University of London",0,35.3,,,,,,,
American University,0,34.9,,,,,,,
Taras Shevchenko National University of Kyiv,0,34.8,,,,,,,
Universidade de BrasÃ­lia,0,34.8,,,,,,,
The University of Georgia,0,34.4,,,,,,,
Universidad PolitÃ¨cnica de ValÃ¨ncia,0,33.1,,,,,,,
National Technical University of Athens,0,33,,,,,,,
Pontificia Universidad CatÃ³lica de ValparaÃ­so,0,32.6,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SUM,1.7806686559,,19.2556813981
,,,,,,SUM/N,0.0046131312,V (ABS),0.049885185
,,,,,,V,0.0679200356,,
