University,International Students-14,International Students-15,,,B2-C2,D2/B2,E2^2,,ABS
Universiti Putra Malaysia (UPM),44.8,57.2,,,-12.4,-0.2767857143,0.0766103316,,0.2767857143
UniversitÃ© LumiÃ¨re Lyon 2,44.8,42.8,,,2,0.0446428571,0.0019929847,,0.0446428571
Massey University,44.5,48.3,,,-3.8,-0.0853932584,0.0072920086,,0.0853932584
Universidad de AlcalÃ¡,44.3,68.6,,,-24.3,-0.5485327314,0.3008881574,,0.5485327314
University of Ottawa,44.1,49.2,,,-5.1,-0.1156462585,0.0133740571,,0.1156462585
Politecnico di Milano,44.1,48.5,,,-4.4,-0.0997732426,0.0099546999,,0.0997732426
University of Bern,43.8,43.5,,,0.3,0.0068493151,4.69131169074865E-005,,0.0068493151
University of San Francisco,43.7,43.9,,,-0.2,-0.004576659,2.09458079583588E-005,,0.004576659
UniversitÃ© de Poitiers,43.2,36.8,,,6.4,0.1481481481,0.0219478738,,0.1481481481
Pennsylvania State University,42.8,45.5,,,-2.7,-0.0630841121,0.0039796052,,0.0630841121
UniversitÃ© Joseph Fourier - Grenoble 1,42.8,44,,,-1.2,-0.0280373832,0.0007860949,,0.0280373832
Chalmers University of Technology,42.7,44.6,,,-1.9,-0.0444964871,0.0019799374,,0.0444964871
"Lingnan University, Hong Kong",42.6,45.1,,,-2.5,-0.058685446,0.0034439816,,0.058685446
University of Oslo,42.5,45.4,,,-2.9,-0.0682352941,0.0046560554,,0.0682352941
UniversitÃ© Paris Descartes,42.4,46.6,,,-4.2,-0.0990566038,0.0098122108,,0.0990566038
Technische UniversitÃ¤t Berlin (TU Berlin),42.3,56.9,,,-14.6,-0.3451536643,0.119131052,,0.3451536643
Duke University,41.8,57.4,,,-15.6,-0.3732057416,0.1392825256,,0.3732057416
Tufts University,41.7,45.4,,,-3.7,-0.0887290168,0.0078728384,,0.0887290168
"University of California, Davis",41.6,46.9,,,-5.3,-0.1274038462,0.01623174,,0.1274038462
Norwegian University of Science And Technology,41.6,41.1,,,0.5,0.0120192308,0.0001444619,,0.0120192308
Humboldt-UniversitÃ¤t zu Berlin,41.5,42.8,,,-1.3,-0.0313253012,0.0009812745,,0.0313253012
Novosibirsk State University,41.1,45.6,,,-4.5,-0.1094890511,0.0119878523,,0.1094890511
Kyung Hee University,41.1,39.6,,,1.5,0.0364963504,0.0013319836,,0.0364963504
Emory University,40.9,45.2,,,-4.3,-0.1051344743,0.0110532577,,0.1051344743
Ruhr-UniversitÃ¤t Bochum,40.9,41.6,,,-0.7,-0.0171149144,0.0002929203,,0.0171149144
UniversitÃ© Pierre MendÃ¨s France - Grenoble 2,40.7,58.6,,,-17.9,-0.4398034398,0.1934270657,,0.4398034398
"The University of Newcastle, Australia (UON)",40.7,52.5,,,-11.8,-0.2899262899,0.0840572536,,0.2899262899
Copenhagen Business School,40.6,64.5,,,-23.9,-0.5886699507,0.3465323109,,0.5886699507
"University of California, Los Angeles (UCLA)",40.6,49,,,-8.4,-0.2068965517,0.0428061831,,0.2068965517
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,40.5,47.7,,,-7.2,-0.1777777778,0.0316049383,,0.1777777778
The National University of Science and Technology MISIS,40.4,46,,,-5.6,-0.1386138614,0.0192138026,,0.1386138614
Al Azhar University,40.3,62.6,,,-22.3,-0.5533498759,0.3061960852,,0.5533498759
Drexel University,40.2,58.1,,,-17.9,-0.4452736318,0.1982686072,,0.4452736318
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,40.2,39.1,,,1.1,0.0273631841,0.0007487438,,0.0273631841
Universit Paul-Valery Montpellier 3,40.1,39.6,,,0.5,0.0124688279,0.0001554717,,0.0124688279
UniversitÃ© de Cergy-Pontoise,40,41.5,,,-1.5,-0.0375,0.00140625,,0.0375
Plymouth University,39.9,42,,,-2.1,-0.0526315789,0.0027700831,,0.0526315789
Universitat Pompeu Fabra,39.7,39.8,,,-0.1,-0.0025188917,6.34481533414898E-006,,0.0025188917
Ben Gurion University of The Negev,39.6,60.1,,,-20.5,-0.5176767677,0.2679892358,,0.5176767677
Radboud University,38.7,38.8,,,-0.1,-0.0025839793,6.67694916838522E-006,,0.0025839793
American University,38.5,38.3,,,0.2,0.0051948052,0.000026986,,0.0051948052
University of Windsor,38,37.5,,,0.5,0.0131578947,0.0001731302,,0.0131578947
National Taiwan Normal University,37.9,56.5,,,-18.6,-0.4907651715,0.2408504536,,0.4907651715
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,37.9,39.9,,,-2,-0.0527704485,0.0027847202,,0.0527704485
Tsinghua University,37.9,36.1,,,1.8,0.0474934037,0.0022556234,,0.0474934037
"University of California, Riverside",37.9,36.1,,,1.8,0.0474934037,0.0022556234,,0.0474934037
University of Miami,37.6,49.7,,,-12.1,-0.3218085106,0.1035607175,,0.3218085106
Qafqaz University,37.6,37.1,,,0.5,0.0132978723,0.0001768334,,0.0132978723
University of Virginia,37.6,35.9,,,1.7,0.045212766,0.0020441942,,0.045212766
Karl-Franzens-Universitaet Graz,37.4,38.9,,,-1.5,-0.0401069519,0.0016085676,,0.0401069519
Korea University,37.2,39.2,,,-2,-0.0537634409,0.0028905076,,0.0537634409
Aalto University,37.1,38.7,,,-1.6,-0.0431266846,0.0018599109,,0.0431266846
Ã‰cole Normale SupÃ©rieure de Lyon,37.1,38.4,,,-1.3,-0.0350404313,0.0012278318,,0.0350404313
Technische UniversitÃ¤t Dresden,37,42.2,,,-5.2,-0.1405405405,0.0197516435,,0.1405405405
University Duesseldorf,36.9,44.2,,,-7.3,-0.1978319783,0.0391374916,,0.1978319783
Laval University,36.8,38.9,,,-2.1,-0.0570652174,0.003256439,,0.0570652174
Georg-August-University Goettingen,36.6,37.9,,,-1.3,-0.0355191257,0.0012616083,,0.0355191257
UniversitÃ¤t Hamburg,36.6,37,,,-0.4,-0.0109289617,0.0001194422,,0.0109289617
Smith College,36.2,38,,,-1.8,-0.0497237569,0.002472452,,0.0497237569
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),36.1,38,,,-1.9,-0.0526315789,0.0027700831,,0.0526315789
Kuwait University,35.9,39.4,,,-3.5,-0.0974930362,0.0095048921,,0.0974930362
University of Minnesota,35.8,37.6,,,-1.8,-0.0502793296,0.002528011,,0.0502793296
Chung-Ang University (CAU),35.7,36.7,,,-1,-0.0280112045,0.0007846276,,0.0280112045
University of Wisconsin-Madison,35.7,36.1,,,-0.4,-0.0112044818,0.0001255404,,0.0112044818
University of Victoria,35,44.3,,,-9.3,-0.2657142857,0.0706040816,,0.2657142857
University of Szeged,34.6,38.4,,,-3.8,-0.1098265896,0.0120618798,,0.1098265896
"University of Maryland, College Park",34.6,37,,,-2.4,-0.0693641618,0.0048113869,,0.0693641618
"University of California, Santa Barbara (UCSB)",34,44.7,,,-10.7,-0.3147058824,0.0990397924,,0.3147058824
University of Michigan,33.3,42.2,,,-8.9,-0.2672672673,0.0714317922,,0.2672672673
University of Amsterdam,33.3,37.8,,,-4.5,-0.1351351351,0.0182615047,,0.1351351351
University of Iowa,30.6,39.5,,,-8.9,-0.2908496732,0.0845935324,,0.2908496732
UniversitÃ¤t Mannheim,30,50.8,,,-20.8,-0.6933333333,0.4807111111,,0.6933333333
North Carolina State University,30,41.6,,,-11.6,-0.3866666667,0.1495111111,,0.3866666667
Waseda University,27.8,40.2,,,-12.4,-0.4460431655,0.1989545055,,0.4460431655
Peking University,24.7,45.2,,,-20.5,-0.8299595142,0.6888327952,,0.8299595142
University of Washington,22.5,43.8,,,-21.3,-0.9466666667,0.8961777778,,0.9466666667
"University of California, San Diego (UCSD)",21.9,42.4,,,-20.5,-0.9360730594,0.8762327725,,0.9360730594
"University of Rome ""Tor Vergata""",21.7,40.9,,,-19.2,-0.8847926267,0.7828579923,,0.8847926267
Arizona State University,20.9,39.9,,,-19,-0.9090909091,0.826446281,,0.9090909091
Universidad de Buenos Aires (UBA),19.2,38,,,-18.8,-0.9791666667,0.9587673611,,0.9791666667
University Complutense Madrid,18.9,38.6,,,-19.7,-1.0423280423,1.0864477478,,1.0423280423
University of Southern Queensland,0,70.9,,,-70.9,,,,
Tomsk State University,0,46.6,,,-46.6,,,,
Memorial University of Newfoundland,0,43.2,,,-43.2,,,,
University of Oregon,0,42.7,,,-42.7,,,,
"National Technical University  ""Kharkiv Polytechnic Institute""",0,40.5,,,-40.5,,,,
Khazar University,0,39.9,,,-39.9,,,,
Technische UniversitÃ¤t Braunschweig,0,39.8,,,-39.8,,,,
Czech Technical University in Prague,0,39.4,,,-39.4,,,,
Corvinus University of Budapest,0,38.7,,,-38.7,,,,
Voronezh State University,0,37.4,,,-37.4,,,,
,,,,,,,13.6437996333,,36.8645053778
,,,,,,,0.0354384406,,0.095751962
,,,,,,,0.1882510043,,
