University,Research-16,Research-17,,,,,,,,
Utrecht UniversityNetherlands,64.3,48.5,,,15.8,0.2457231726,0.0603798776,,,0.2457231726
University of FloridaUnited States,56.8,48.1,,,8.7,0.1531690141,0.0234607469,,,0.1531690141
University of GÃ¶ttingenGermany,54.5,48,,,6.5,0.119266055,0.0142243919,,,0.119266055
University of MontrealCanada,45.5,47.8,,,-2.3,-0.0505494505,0.002555247,,,0.0505494505
University of GlasgowUnited Kingdom,48.3,47.8,,,0.5,0.0103519669,0.0001071632,,,0.0103519669
University of SheffieldUnited Kingdom,48.8,47.6,,,1.2,0.0245901639,0.0006046762,,,0.0245901639
Scuola Normale Superiore di PisaItaly,53.1,47.5,,,5.6,0.1054613936,0.0111221055,,,0.1054613936
Tohoku UniversityJapan,42.7,47.3,,,-4.6,-0.1077283372,0.0116053946,,,0.1077283372
Fudan UniversityChina,30.4,47,,,-16.6,-0.5460526316,0.2981734765,,,0.5460526316
University of TwenteNetherlands,45.6,46.7,,,-1.1,-0.024122807,0.0005819098,,,0.024122807
University of LausanneSwitzerland,45.6,46.6,,,-1,-0.0219298246,0.0004809172,,,0.0219298246
University of ViennaAustria,50.5,46.6,,,3.9,0.0772277228,0.0059641212,,,0.0772277228
Stockholm UniversitySweden,51.2,46.2,,,5,0.09765625,0.0095367432,,,0.09765625
University of SouthamptonUnited Kingdom,43.6,46.1,,,-2.5,-0.0573394495,0.0032878125,,,0.0573394495
University of YorkUnited Kingdom,46.3,45.9,,,0.4,0.0086393089,7.46376574971189E-005,,,0.0086393089
TU Dresden Germany,45.8,45.6,,,0.2,0.0043668122,0.000019069,,,0.0043668122
"Korea UniversityKorea, Republic of",43.4,45.4,,,-2,-0.0460829493,0.0021236382,,,0.0460829493
McMaster UniversityCanada,44.8,45.4,,,-0.6,-0.0133928571,0.0001793686,,,0.0133928571
KTH Royal Institute of TechnologySweden,44.3,45.3,,,-1,-0.0225733634,0.0005095567,,,0.0225733634
Karlsruhe Institute of TechnologyGermany,47.5,45.2,,,2.3,0.0484210526,0.0023445983,,,0.0484210526
"University of California, IrvineUnited States",41.8,45,,,-3.2,-0.0765550239,0.0058606717,,,0.0765550239
University of WaterlooCanada,43.9,44.9,,,-1,-0.0227790433,0.0005188848,,,0.0227790433
University of Western AustraliaAustralia,46.1,44.9,,,1.2,0.0260303688,0.0006775801,,,0.0260303688
City University of Hong KongHong Kong,26.7,44.5,,,-17.8,-0.6666666667,0.4444444444,,,0.6666666667
University of StuttgartGermany,44.5,44.5,,,0,0,0,,,0
University of KonstanzGermany,46.7,44.5,,,2.2,0.0471092077,0.0022192775,,,0.0471092077
University of St AndrewsUnited Kingdom,47.3,44.3,,,3,0.0634249471,0.0040227239,,,0.0634249471
University of AdelaideAustralia,43.2,43.9,,,-0.7,-0.0162037037,0.00026256,,,0.0162037037
University of Colorado BoulderUnited States,37.6,43.7,,,-6.1,-0.1622340426,0.0263198846,,,0.1622340426
Bielefeld UniversityGermany,46.2,43.7,,,2.5,0.0541125541,0.0029281685,,,0.0541125541
University of Erlangen-NurembergGermany,39.7,43.6,,,-3.9,-0.0982367758,0.0096504641,,,0.0982367758
Eindhoven University of TechnologyNetherlands,41,43.5,,,-2.5,-0.0609756098,0.003718025,,,0.0609756098
University of Science and Technology of ChinaChina,36.6,43.4,,,-6.8,-0.1857923497,0.0345187972,,,0.1857923497
University of OsloNorway,44.7,43.1,,,1.6,0.0357941834,0.0012812236,,,0.0357941834
University of LeedsUnited Kingdom,39,43,,,-4,-0.1025641026,0.0105193951,,,0.1025641026
University of BernSwitzerland,42.5,43,,,-0.5,-0.0117647059,0.0001384083,,,0.0117647059
Technical University of DarmstadtGermany,43.2,43,,,0.2,0.0046296296,2.14334705075452E-005,,,0.0046296296
UniversitÃ© Libre de BruxellesBelgium,28.3,42.8,,,-14.5,-0.5123674912,0.262520446,,,0.5123674912
University of BirminghamUnited Kingdom,41.8,42.4,,,-0.6,-0.014354067,0.0002060392,,,0.014354067
University of ArizonaUnited States,41.8,42.2,,,-0.4,-0.009569378,0.000091573,,,0.009569378
Hong Kong Polytechnic UniversityHong Kong,35.2,41.8,,,-6.6,-0.1875,0.03515625,,,0.1875
Nagoya UniversityJapan,38.9,41.8,,,-2.9,-0.0745501285,0.0055577217,,,0.0745501285
University of NottinghamUnited Kingdom,39,41.3,,,-2.3,-0.058974359,0.003477975,,,0.058974359
Dartmouth CollegeUnited States,35.8,41.1,,,-5.3,-0.1480446927,0.021917231,,,0.1480446927
University of GenevaSwitzerland,40.5,41.1,,,-0.6,-0.0148148148,0.0002194787,,,0.0148148148
Lancaster UniversityUnited Kingdom,41.4,40.9,,,0.5,0.0120772947,0.000145861,,,0.0120772947
University of AucklandNew Zealand,39.5,40.8,,,-1.3,-0.0329113924,0.0010831598,,,0.0329113924
University of BonnGermany,47.5,40.8,,,6.7,0.1410526316,0.0198958449,,,0.1410526316
University of Notre DameUnited States,48.1,40.7,,,7.4,0.1538461538,0.0236686391,,,0.1538461538
Ã‰cole PolytechniqueFrance,44.6,40.6,,,4,0.0896860987,0.0080435963,,,0.0896860987
PanthÃ©on-Sorbonne University â€“ Paris 1France,47.6,40.6,,,7,0.1470588235,0.0216262976,,,0.1470588235
University of GothenburgSweden,39.8,40.5,,,-0.7,-0.0175879397,0.0003093356,,,0.0175879397
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,43.1,40.5,,,2.6,0.060324826,0.0036390846,,,0.060324826
Indiana UniversityUnited States,27.3,40.2,,,-12.9,-0.4725274725,0.2232822123,,,0.4725274725
VU University AmsterdamNetherlands,37.1,40.2,,,-3.1,-0.0835579515,0.0069819313,,,0.0835579515
National Chiao Tung UniversityTaiwan,45.4,40.2,,,5.2,0.1145374449,0.0131188263,,,0.1145374449
"Yonsei UniversityKorea, Republic of",34.1,40.1,,,-6,-0.1759530792,0.0309594861,,,0.1759530792
National Tsing Hua UniversityTaiwan,36.6,40.1,,,-3.5,-0.0956284153,0.0091447938,,,0.0956284153
Virginia Polytechnic Institute and State UniversityUnited States,38.2,39.9,,,-1.7,-0.0445026178,0.001980483,,,0.0445026178
"Gwangju Institute of Science and TechnologyKorea, Republic of",42,39.9,,,2.1,0.05,0.0025,,,0.05
University of AntwerpBelgium,40.8,39.8,,,1,0.0245098039,0.0006007305,,,0.0245098039
York UniversityCanada,30.8,39.7,,,-8.9,-0.288961039,0.083498482,,,0.288961039
Emory UniversityUnited States,37.1,39.7,,,-2.6,-0.0700808625,0.0049113273,,,0.0700808625
Queen Mary University of LondonUnited Kingdom,41.3,39.7,,,1.6,0.0387409201,0.0015008589,,,0.0387409201
Hebrew University of JerusalemIsrael,41.4,39.6,,,1.8,0.0434782609,0.0018903592,,,0.0434782609
State University of CampinasBrazil,42.3,39.6,,,2.7,0.0638297872,0.0040742417,,,0.0638297872
Florida State UniversityUnited States,40.1,39.5,,,0.6,0.0149625935,0.0002238792,,,0.0149625935
Georgetown UniversityUnited States,39.3,39.3,,,0,0,0,,,0
University of ExeterUnited Kingdom,40,39.2,,,0.8,0.02,0.0004,,,0.02
Case Western Reserve UniversityUnited States,33.2,38.9,,,-5.7,-0.171686747,0.0294763391,,,0.171686747
Rice UniversityUnited States,35.1,38.7,,,-3.6,-0.1025641026,0.0105193951,,,0.1025641026
University of Hawaiâ€™i at MÄnoaUnited States,35.5,38.7,,,-3.2,-0.0901408451,0.008125372,,,0.0901408451
University of VirginiaUnited States,37.5,38.6,,,-1.1,-0.0293333333,0.0008604444,,,0.0293333333
Paris-Sorbonne University â€“ Paris 4France,55.8,38.6,,,17.2,0.3082437276,0.0950141956,,,0.3082437276
University of ZurichSwitzerland,31.5,38.5,,,-7,-0.2222222222,0.049382716,,,0.2222222222
University of CologneGermany,38,38.3,,,-0.3,-0.0078947368,6.2326869806093E-005,,,0.0078947368
University of MÃ¼nsterGermany,44.1,38.3,,,5.8,0.1315192744,0.0172973195,,,0.1315192744
Ulm UniversityGermany,23.9,38.1,,,-14.2,-0.5941422594,0.3530050244,,,0.5941422594
National Cheng Kung University (NCKU)Taiwan,40.2,38,,,2.2,0.0547263682,0.0029949754,,,0.0547263682
Queensland University of TechnologyAustralia,35.6,37.9,,,-2.3,-0.0646067416,0.0041740311,,,0.0646067416
University of SussexUnited Kingdom,37.2,37.9,,,-0.7,-0.0188172043,0.0003540872,,,0.0188172043
University College DublinIreland,38.5,37.8,,,0.7,0.0181818182,0.0003305785,,,0.0181818182
University of ReadingUnited Kingdom,37.3,37.5,,,-0.2,-0.0053619303,2.87502964874333E-005,,,0.0053619303
University of the WitwatersrandSouth Africa,31.5,37.3,,,-5.8,-0.1841269841,0.0339027463,,,0.1841269841
Vanderbilt UniversityUnited States,44.2,37.3,,,6.9,0.1561085973,0.0243698941,,,0.1561085973
University of Cape TownSouth Africa,38.7,37.2,,,1.5,0.0387596899,0.0015023136,,,0.0387596899
Leibniz University of HanoverGermany,36.9,37.1,,,-0.2,-0.0054200542,0.000029377,,,0.0054200542
University of WÃ¼rzburgGermany,35.8,37,,,-1.2,-0.0335195531,0.0011235604,,,0.0335195531
Cardiff UniversityUnited Kingdom,31.6,36.9,,,-5.3,-0.167721519,0.0281305079,,,0.167721519
Nanjing UniversityChina,32.2,36.9,,,-4.7,-0.1459627329,0.0213051194,,,0.1459627329
University of BaselSwitzerland,33.1,36.8,,,-3.7,-0.1117824773,0.0124953222,,,0.1117824773
University of DelawareUnited States,34,36.8,,,-2.8,-0.0823529412,0.0067820069,,,0.0823529412
Macquarie UniversityAustralia,27.2,36.5,,,-9.3,-0.3419117647,0.1169036548,,,0.3419117647
Autonomous University of BarcelonaSpain,40,36.4,,,3.6,0.09,0.0081,,,0.09
Ruhr University BochumGermany,30,36.2,,,-6.2,-0.2066666667,0.0427111111,,,0.2066666667
Hokkaido UniversityJapan,32.8,36.2,,,-3.4,-0.1036585366,0.0107450922,,,0.1036585366
Technion Israel Institute of TechnologyIsrael,36.1,36.1,,,0,0,0,,,0
University of EssexUnited Kingdom,33.3,36,,,-2.7,-0.0810810811,0.0065741417,,,0.0810810811
"Hanyang UniversityKorea, Republic of",32.6,35.6,,,-3,-0.0920245399,0.0084685159,,,0.0920245399
"Kyung Hee UniversityKorea, Republic of",27.6,35.5,,,-7.9,-0.2862318841,0.0819286915,,,0.2862318841
University of Illinois at ChicagoUnited States,29.2,35.3,,,-6.1,-0.2089041096,0.043640927,,,0.2089041096
"University of California, Santa CruzUnited States",34.2,35.3,,,-1.1,-0.0321637427,0.0010345063,,,0.0321637427
Sapienza University of RomeItaly,37.3,35.3,,,2,0.0536193029,0.0028750296,,,0.0536193029
Aalborg UniversityDenmark,28.4,35.2,,,-6.8,-0.2394366197,0.0573298949,,,0.2394366197
Tongji UniversityChina,29.2,35.2,,,-6,-0.2054794521,0.0422218052,,,0.2054794521
University of LiverpoolUnited Kingdom,30.9,35.2,,,-4.3,-0.1391585761,0.0193651093,,,0.1391585761
University of CalgaryCanada,36.7,35.2,,,1.5,0.0408719346,0.001670515,,,0.0408719346
Kyushu UniversityJapan,27.5,35.1,,,-7.6,-0.2763636364,0.0763768595,,,0.2763636364
"Birkbeck, University of LondonUnited Kingdom",35.1,35.1,,,0,0,0,,,0
University of GeorgiaUnited States,30.5,35,,,-4.5,-0.1475409836,0.0217683418,,,0.1475409836
Western UniversityCanada,32.4,34.9,,,-2.5,-0.0771604938,0.0059537418,,,0.0771604938
University of South FloridaUnited States,35.7,34.9,,,0.8,0.0224089636,0.0005021616,,,0.0224089636
Queenâ€™s UniversityCanada,35.8,34.8,,,1,0.0279329609,0.0007802503,,,0.0279329609
University of MassachusettsUnited States,36.3,34.8,,,1.5,0.041322314,0.0017075336,,,0.041322314
Loughborough UniversityUnited Kingdom,32.2,34.4,,,-2.2,-0.0683229814,0.0046680298,,,0.0683229814
Tufts UniversityUnited States,33.3,34.3,,,-1,-0.03003003,0.0009018027,,,0.03003003
Scuola Superiore Santâ€™AnnaItaly,23.2,33.9,,,-10.7,-0.4612068966,0.2127118014,,,0.4612068966
Pierre and Marie Curie UniversityFrance,32.7,33.7,,,-1,-0.0305810398,0.0009352,,,0.0305810398
"University of California, RiversideUnited States",33.3,33.7,,,-0.4,-0.012012012,0.0001442884,,,0.012012012
Rensselaer Polytechnic InstituteUnited States,31.5,33.5,,,-2,-0.0634920635,0.0040312421,,,0.0634920635
University of LiÃ¨geBelgium,36.6,33.3,,,3.3,0.0901639344,0.0081295351,,,0.0901639344
Moscow Institute of Physics and TechnologyRussian Federation,18.4,33.1,,,-14.7,-0.7989130435,0.638262051,,,0.7989130435
University of CopenhagenDenmark,42.7,33.1,,,9.6,0.224824356,0.050545991,,,0.224824356
Pompeu Fabra UniversitySpain,28,33,,,-5,-0.1785714286,0.0318877551,,,0.1785714286
University of GuelphCanada,34.2,33,,,1.2,0.0350877193,0.001231148,,,0.0350877193
University of BarcelonaSpain,37.4,33,,,4.4,0.1176470588,0.0138408304,,,0.1176470588
National Autonomous University of MexicoMexico,40.2,33,,,7.2,0.1791044776,0.0320784139,,,0.1791044776
SabancÄ± UniversityTurkey,32.3,32.9,,,-0.6,-0.0185758514,0.0003450623,,,0.0185758514
Norwegian University of Science and TechnologyNorway,25.8,32.8,,,-7,-0.2713178295,0.0736133646,,,0.2713178295
University of TsukubaJapan,30,32.7,,,-2.7,-0.09,0.0081,,,0.09
North Carolina State UniversityUnited States,30.5,32.7,,,-2.2,-0.0721311475,0.0052029024,,,0.0721311475
University of FribourgSwitzerland,32.9,32.7,,,0.2,0.0060790274,3.69545735904124E-005,,,0.0060790274
University of OuluFinland,15.9,32.6,,,-16.7,-1.0503144654,1.1031604762,,,1.0503144654
University of SurreyUnited Kingdom,28.9,32.6,,,-3.7,-0.1280276817,0.0163910873,,,0.1280276817
Colorado State UniversityUnited States,33,32.6,,,0.4,0.0121212121,0.0001469238,,,0.0121212121
University of Texas at DallasUnited States,26.7,32.5,,,-5.8,-0.2172284644,0.0471882058,,,0.2172284644
Paris Descartes UniversityFrance,28.8,32.5,,,-3.7,-0.1284722222,0.0165051119,,,0.1284722222
University of LeicesterUnited Kingdom,27.8,32.4,,,-4.6,-0.1654676259,0.0273795352,,,0.1654676259
University of RochesterUnited States,27.9,32.4,,,-4.5,-0.1612903226,0.0260145682,,,0.1612903226
"Royal Holloway, University of LondonUnited Kingdom",33.2,32.3,,,0.9,0.0271084337,0.0007348672,,,0.0271084337
Newcastle UniversityUnited Kingdom,27.5,32.1,,,-4.6,-0.1672727273,0.0279801653,,,0.1672727273
University of WollongongAustralia,28.4,32.1,,,-3.7,-0.1302816901,0.0169733188,,,0.1302816901
"Chung-Ang UniversityKorea, Republic of",27.6,31.9,,,-4.3,-0.1557971014,0.0242727368,,,0.1557971014
Simon Fraser UniversityCanada,29.2,31.9,,,-2.7,-0.0924657534,0.0085499156,,,0.0924657534
Queenâ€™s University BelfastUnited Kingdom,33.3,31.9,,,1.4,0.042042042,0.0017675333,,,0.042042042
Bayreuth UniversityGermany,31.2,31.4,,,-0.2,-0.0064102564,4.10913872452331E-005,,,0.0064102564
University of StrathclydeUnited Kingdom,28,31.2,,,-3.2,-0.1142857143,0.0130612245,,,0.1142857143
University of AberdeenUnited Kingdom,31.4,31.2,,,0.2,0.0063694268,4.05695971439001E-005,,,0.0063694268
Indian Institute of Technology BombayIndia,28.6,31.1,28.6,31.1,-2.5,-0.0874125874,0.0076409604,,,0.0874125874
University of East AngliaUnited Kingdom,28.7,31.1,,,-2.4,-0.0836236934,0.0069929221,,,0.0836236934
Paris-Sud UniversityFrance,29,31.1,,,-2.1,-0.0724137931,0.0052437574,,,0.0724137931
National Taiwan Normal UniversityTaiwan,31.3,31.1,,,0.2,0.0063897764,4.08292419030507E-005,,,0.0063897764
University of DundeeUnited Kingdom,26.9,31,,,-4.1,-0.1524163569,0.0232307458,,,0.1524163569
University of BathUnited Kingdom,27.9,31,,,-3.1,-0.1111111111,0.012345679,,,0.1111111111
University of OtagoNew Zealand,30.5,30.7,,,-0.2,-0.006557377,4.29991937651166E-005,,,0.006557377
Saint Petersburg State UniversityRussian Federation,31.4,30.7,,,0.7,0.0222929936,0.0004969776,,,0.0222929936
University of UtahUnited States,35.3,30.5,,,4.8,0.1359773371,0.0184898362,,,0.1359773371
Ã‰cole Normale SupÃ©rieure de LyonFrance,30,30.4,,,-0.4,-0.0133333333,0.0001777778,,,0.0133333333
Polytechnic University of MilanItaly,31.7,30.3,,,1.4,0.0441640379,0.0019504622,,,0.0441640379
Wuhan UniversityChina,26.8,30.2,,,-3.4,-0.1268656716,0.0160948986,,,0.1268656716
Victoria University of WellingtonNew Zealand,28.7,30.2,,,-1.5,-0.0522648084,0.0027316102,,,0.0522648084
University of HohenheimGermany,33.8,30.1,,,3.7,0.1094674556,0.0119831238,,,0.1094674556
University of LuxembourgLuxembourg,26.7,30,,,-3.3,-0.1235955056,0.015275849,,,0.1235955056
Technical University of DenmarkDenmark,29.9,30,,,-0.1,-0.0033444816,1.11855572085327E-005,,,0.0033444816
University of South AustraliaAustralia,26.7,29.9,,,-3.2,-0.1198501873,0.0143640674,,,0.1198501873
KoÃ§ UniversityTurkey,27.1,29.8,,,-2.7,-0.0996309963,0.0099263354,,,0.0996309963
Technical University of DortmundGermany,29.8,29.8,,,0,0,0,,,0
La Trobe UniversityAustralia,28.5,29.7,,,-1.2,-0.0421052632,0.0017728532,,,0.0421052632
University of CincinnatiUnited States,20.4,29.6,,,-9.2,-0.4509803922,0.2033833141,,,0.4509803922
University of TasmaniaAustralia,25.7,29.6,,,-3.9,-0.1517509728,0.0230283577,,,0.1517509728
Washington State UniversityUnited States,28.2,29.6,,,-1.4,-0.0496453901,0.0024646648,,,0.0496453901
Dalhousie UniversityCanada,29.4,29.6,,,-0.2,-0.0068027211,0.000046277,,,0.0068027211
Ehime UniversityJapan,11.3,29.5,,,-18.2,-1.610619469,2.594095074,,,1.610619469
University of HoustonUnited States,26.5,29.4,,,-2.9,-0.1094339623,0.0119757921,,,0.1094339623
University of BremenGermany,32.7,29.4,,,3.3,0.1009174312,0.0101843279,,,0.1009174312
Justus Liebig University GiessenGermany,33.9,29.4,,,4.5,0.1327433628,0.0176208004,,,0.1327433628
University of TampereFinland,13.7,29.3,,,-15.6,-1.1386861314,1.2966061058,,,1.1386861314
University of BergenNorway,31.5,29.3,,,2.2,0.0698412698,0.004877803,,,0.0698412698
Tianjin UniversityChina,34.4,29.2,,,5.2,0.1511627907,0.0228501893,,,0.1511627907
University of Nebraska-LincolnUnited States,30.2,29.1,,,1.1,0.0364238411,0.0013266962,,,0.0364238411
Aalto UniversityFinland,32.8,29,,,3.8,0.1158536585,0.0134220702,,,0.1158536585
University at BuffaloUnited States,37.9,29,,,8.9,0.234828496,0.0551444226,,,0.234828496
San Diego State UniversityUnited States,27,28.8,,,-1.8,-0.0666666667,0.0044444444,,,0.0666666667
University of Duisburg-EssenGermany,27,28.7,,,-1.7,-0.062962963,0.0039643347,,,0.062962963
UmeÃ¥ UniversitySweden,25,28.6,,,-3.6,-0.144,0.020736,,,0.144
Griffith UniversityAustralia,25.2,28.5,,,-3.3,-0.130952381,0.0171485261,,,0.130952381
University of NewcastleAustralia,26.5,28.5,,,-2,-0.0754716981,0.0056959772,,,0.0754716981
Chalmers University of TechnologySweden,35.3,28.5,,,6.8,0.1926345609,0.0371080741,,,0.1926345609
Novosibirsk State UniversityRussian Federation,30.8,28.3,,,2.5,0.0811688312,0.0065883792,,,0.0811688312
Autonomous University of MadridSpain,30.9,28.3,,,2.6,0.0841423948,0.0070799426,,,0.0841423948
University of ConnecticutUnited States,25.6,28.2,,,-2.6,-0.1015625,0.0103149414,,,0.1015625
Oregon State UniversityUnited States,28.5,28.2,,,0.3,0.0105263158,0.0001108033,,,0.0105263158
King Saud UniversitySaudi Arabia,17.5,27.9,,,-10.4,-0.5942857143,0.3531755102,,,0.5942857143
"National University of Ireland, GalwayIreland",25.4,27.8,,,-2.4,-0.094488189,0.0089280179,,,0.094488189
Colorado School of MinesUnited States,30.3,27.8,,,2.5,0.0825082508,0.0068076115,,,0.0825082508
George Washington UniversityUnited States,23.5,27.7,,,-4.2,-0.1787234043,0.0319420552,,,0.1787234043
Harbin Institute of TechnologyChina,27.3,27.7,,,-0.4,-0.0146520147,0.0002146815,,,0.0146520147
University of TrentoItaly,27.4,27.7,,,-0.3,-0.0109489051,0.0001198785,,,0.0109489051
University of IcelandIceland,27.1,27.6,,,-0.5,-0.0184501845,0.0003404093,,,0.0184501845
Ben-Gurion University of the NegevIsrael,23.1,27.5,,,-4.4,-0.1904761905,0.0362811791,,,0.1904761905
"Sogang UniversityKorea, Republic of",24.8,27.5,,,-2.7,-0.1088709677,0.0118528876,,,0.1088709677
Goethe University FrankfurtGermany,28.6,27.5,,,1.1,0.0384615385,0.0014792899,,,0.0384615385
University of BolognaItaly,29.5,27.5,,,2,0.0677966102,0.0045963804,,,0.0677966102
"Sharif University of TechnologyIran, Islamic Republic of",30.1,27.4,,,2.7,0.0897009967,0.0080462688,,,0.0897009967
Laval UniversityCanada,31.7,27.3,,,4.4,0.1388012618,0.0192657903,,,0.1388012618
Northwestern Polytechnical UniversityChina,15.4,27.2,,,-11.8,-0.7662337662,0.5871141845,,,0.7662337662
University of KielGermany,20.5,27.2,,,-6.7,-0.3268292683,0.1068173706,,,0.3268292683
University of CoimbraPortugal,26.5,27.2,,,-0.7,-0.0264150943,0.0006977572,,,0.0264150943
National Research Nuclear University MePhIRussian Federation,27.8,27.2,,,0.6,0.0215827338,0.0004658144,,,0.0215827338
National Sun Yat-Sen UniversityTaiwan,33,27.2,,,5.8,0.1757575758,0.0308907254,,,0.1757575758
"Pusan National UniversityKorea, Republic of",24.7,27.1,,,-2.4,-0.0971659919,0.00944123,,,0.0971659919
University of IowaUnited States,26.7,27.1,,,-0.4,-0.0149812734,0.0002244386,,,0.0149812734
Complutense University of MadridSpain,27.6,27.1,,,0.5,0.018115942,0.0003281874,,,0.018115942
University of CanterburyNew Zealand,22.5,26.8,,,-4.3,-0.1911111111,0.0365234568,,,0.1911111111
Dublin City UniversityIreland,25.2,26.7,,,-1.5,-0.0595238095,0.0035430839,,,0.0595238095
Xiâ€™an Jiaotong UniversityChina,22.5,26.3,,,-3.8,-0.1688888889,0.0285234568,,,0.1688888889
Sun Yat-sen UniversityChina,24.6,26.3,,,-1.7,-0.0691056911,0.0047755965,,,0.0691056911
University of ManitobaCanada,26.9,26.3,,,0.6,0.0223048327,0.0004975056,,,0.0223048327
Lappeenranta University of TechnologyFinland,27.5,26.3,,,1.2,0.0436363636,0.0019041322,,,0.0436363636
University of AveiroPortugal,26.5,26.2,,,0.3,0.0113207547,0.0001281595,,,0.0113207547
University of PortoPortugal,28.2,26.2,,,2,0.0709219858,0.0050299281,,,0.0709219858
Swansea UniversityUnited Kingdom,23.8,26.1,,,-2.3,-0.0966386555,0.0093390297,,,0.0966386555
Brunel University LondonUnited Kingdom,23.3,26,,,-2.7,-0.1158798283,0.0134281346,,,0.1158798283
Syracuse UniversityUnited States,20.8,25.9,,,-5.1,-0.2451923077,0.0601192678,,,0.2451923077
"City, University of LondonUnited Kingdom",21.2,25.9,,,-4.7,-0.2216981132,0.0491500534,,,0.2216981132
Caâ€™ Foscari University of VeniceItaly,27.8,25.9,,,1.9,0.0683453237,0.0046710833,,,0.0683453237
Northeastern UniversityUnited States,20.6,25.7,,,-5.1,-0.2475728155,0.061292299,,,0.2475728155
University College CorkIreland,23.8,25.7,,,-1.9,-0.0798319328,0.0063731375,,,0.0798319328
Carleton UniversityCanada,24,25.6,,,-1.6,-0.0666666667,0.0044444444,,,0.0666666667
China University of Petroleum (Beijing)China,26.6,25.5,,,1.1,0.0413533835,0.0017101023,,,0.0413533835
Vienna University of TechnologyAustria,32,25.5,,,6.5,0.203125,0.0412597656,,,0.203125
University of CyprusCyprus,28.5,25.4,,,3.1,0.1087719298,0.0118313327,,,0.1087719298
Oxford Brookes UniversityUnited Kingdom,18.8,25.3,,,-6.5,-0.3457446809,0.1195393843,,,0.3457446809
University of KwaZulu-NatalSouth Africa,25.7,25.3,,,0.4,0.0155642023,0.0002422444,,,0.0155642023
Iowa State UniversityUnited States,29.4,25.3,,,4.1,0.1394557823,0.0194479152,,,0.1394557823
Chang Gung UniversityTaiwan,24.7,25.1,,,-0.4,-0.016194332,0.0002622564,,,0.016194332
University of SaskatchewanCanada,22.4,25,,,-2.6,-0.1160714286,0.0134725765,,,0.1160714286
Polytechnic University of ValenciaSpain,12.7,24.8,,,-12.1,-0.9527559055,0.9077438155,,,0.9527559055
Stellenbosch UniversitySouth Africa,35,24.8,,,10.2,0.2914285714,0.0849306122,,,0.2914285714
University of GhanaGhana,15.6,24.7,,,-9.1,-0.5833333333,0.3402777778,,,0.5833333333
Missouri University of Science and TechnologyUnited States,18.4,24.7,,,-6.3,-0.3423913043,0.1172318053,,,0.3423913043
Beijing Institute of TechnologyChina,21.7,24.7,,,-3,-0.1382488479,0.019112744,,,0.1382488479
Huazhong University of Science and TechnologyChina,22.7,24.7,,,-2,-0.0881057269,0.0077626191,,,0.0881057269
Oklahoma State UniversityUnited States,22.7,24.7,,,-2,-0.0881057269,0.0077626191,,,0.0881057269
Concordia UniversityCanada,23.4,24.7,,,-1.3,-0.0555555556,0.0030864198,,,0.0555555556
University of StirlingUnited Kingdom,23.5,24.7,,,-1.2,-0.0510638298,0.0026075147,,,0.0510638298
University of HaifaIsrael,29.5,24.7,,,4.8,0.1627118644,0.0264751508,,,0.1627118644
University of CanberraAustralia,19.3,24.6,,,-5.3,-0.274611399,0.0754114204,,,0.274611399
George Mason UniversityUnited States,21.2,24.6,,,-3.4,-0.1603773585,0.0257208971,,,0.1603773585
Brandeis UniversityUnited States,25.7,24.6,,,1.1,0.0428015564,0.0018319732,,,0.0428015564
Istanbul Technical UniversityTurkey,25.8,24.6,,,1.2,0.0465116279,0.0021633315,,,0.0465116279
"Konkuk UniversityKorea, Republic of",19.6,24.5,,,-4.9,-0.25,0.0625,,,0.25
Deakin UniversityAustralia,21.9,24.5,,,-2.6,-0.1187214612,0.0140947853,,,0.1187214612
Stony Brook UniversityUnited States,22,24.5,,,-2.5,-0.1136363636,0.0129132231,,,0.1136363636
University of OregonUnited States,22.7,24.5,,,-1.8,-0.0792951542,0.0062877215,,,0.0792951542
University of MilanItaly,24.2,24.5,,,-0.3,-0.0123966942,0.000153678,,,0.0123966942
Western Sydney UniversityAustralia,24.6,24.4,,,0.2,0.0081300813,6.60982219578312E-005,,,0.0081300813
Copenhagen Business SchoolDenmark,26.5,24.4,,,2.1,0.079245283,0.0062798149,,,0.079245283
"China Medical University, TaiwanTaiwan",29.4,24.4,,,5,0.1700680272,0.0289231339,,,0.1700680272
Universiti Putra MalaysiaMalaysia,20.9,24.3,,,-3.4,-0.1626794258,0.0264645956,,,0.1626794258
"National University of Ireland, MaynoothIreland",22.8,24.2,,,-1.4,-0.0614035088,0.0037703909,,,0.0614035088
University of PretoriaSouth Africa,21.2,24.1,,,-2.9,-0.1367924528,0.0187121752,,,0.1367924528
University of LisbonPortugal,18.3,24,,,-5.7,-0.3114754098,0.0970169309,,,0.3114754098
Swinburne University of TechnologyAustralia,20.2,24,,,-3.8,-0.1881188119,0.0353886874,,,0.1881188119
Heriot-Watt UniversityUnited Kingdom,22.4,24,,,-1.6,-0.0714285714,0.0051020408,,,0.0714285714
Paris Diderot University â€“ Paris 7France,22.9,24,,,-1.1,-0.0480349345,0.0023073549,,,0.0480349345
University of Alaska FairbanksUnited States,23.1,24,,,-0.9,-0.038961039,0.0015179626,,,0.038961039
Federal University of ParanÃ¡ (UFPR)Brazil,9.6,23.9,,,-14.3,-1.4895833333,2.2188585069,,,1.4895833333
